,0
region,object
division,object
district,object
beis_school_id,object
school_name,object
street_address,object
province,object
municipality,object
legislative_district,object
barangay,object
sector,object
school_subclassification,object
school_type,object
modified_coc,object
k_male,int64
k_female,int64
g1_male,int64
g1_female,int64
g2_male,int64
g2_female,int64
g3_male,int64
g3_female,int64
g4_male,int64
g4_female,int64
g5_male,int64
g5_female,int64
g6_male,int64
g6_female,int64
elem_ng_male,int64
elem_ng_female,int64
g7_male,int64
g7_female,int64
g8_male,int64
g8_female,int64
g9_male,int64
g9_female,int64
g10_male,int64
g10_female,int64
jhs_ng_male,int64
jhs_ng_female,int64
g11_acad_-_abm_male,int64
g11_acad_-_abm_female,int64
g11_acad_-_humss_male,int64
g11_acad_-_humss_female,int64
g11_acad_stem_male,int64
g11_acad_stem_female,int64
g11_acad_gas_male,int64
g11_acad_gas_female,int64
g11_acad_pbm_male,int64
g11_acad_pbm_female,int64
g11_tvl_male,int64
g11_tvl_female,int64
g11_sports_male,int64
g11_sports_female,int64
g11_arts_male,int64
g11_arts_female,int64
g12_acad_-_abm_male,int64
g12_acad_-_abm_female,int64
g12_acad_-_humss_male,int64
g12_acad_-_humss_female,int64
g12_acad_stem_male,int64
g12_acad_stem_female,int64
g12_acad_gas_male,int64
g12_acad_gas_female,int64
g12_acad_pbm_male,int64
g12_acad_pbm_female,int64
g12_tvl_male,int64
g12_tvl_female,int64
g12_sports_male,int64
g12_sports_female,int64
g12_arts_male,int64
g12_arts_female,int64
