District,Division,Division ID,District ID
Bacarra I,Ilocos Norte,1,1
Bacarra II,Ilocos Norte,1,2
Badoc,Ilocos Norte,1,3
Bangui,Ilocos Norte,1,4
Banna (Espiritu),Ilocos Norte,1,5
Burgos,Ilocos Norte,1,6
Currimao,Ilocos Norte,1,7
Dingras I,Ilocos Norte,1,8
Dingras II,Ilocos Norte,1,9
Marcos-Nueva Era,Ilocos Norte,1,10
Adams-Pagudpud,Ilocos Norte,1,11
Paoay,Ilocos Norte,1,12
Pasuquin,Ilocos Norte,1,13
Piddig,Ilocos Norte,1,14
Pinili,Ilocos Norte,1,15
San Nicolas,Ilocos Norte,1,16
Sarrat,Ilocos Norte,1,17
Solsona,Ilocos Norte,1,18
Vintar I,Ilocos Norte,1,19
Vintar II,Ilocos Norte,1,20
Alilem-Sugpon,Ilocos Sur,2,21
Banayoyo-Lidlidda-San Emilio,Ilocos Sur,2,22
Bantay,Ilocos Sur,2,23
Burgos-San Esteban,Ilocos Sur,2,24
Cabugao,Ilocos Sur,2,25
Caoayan,Ilocos Sur,2,26
Cervantes-Quirino,Ilocos Sur,2,27
Magsingal,Ilocos Sur,2,28
Narvacan North,Ilocos Sur,2,29
Narvacan South-Nagbukel,Ilocos Sur,2,30
Salcedo-Galimuyod-Sigay-Del Pilar,Ilocos Sur,2,31
San Juan,Ilocos Sur,2,32
San Vicente,Ilocos Sur,2,33
Santa,Ilocos Sur,2,34
Santiago,Ilocos Sur,2,35
Sinait,Ilocos Sur,2,36
Sta. Catalina,Ilocos Sur,2,37
Sta. Cruz,Ilocos Sur,2,38
Sta. Lucia,Ilocos Sur,2,39
Sta. Maria,Ilocos Sur,2,40
Sto. Domingo-San Ildefonso,Ilocos Sur,2,41
Suyo,Ilocos Sur,2,42
Tagudin,Ilocos Sur,2,43
Agoo East,La Union,3,44
Agoo West,La Union,3,45
Aringay,La Union,3,46
Bacnotan,La Union,3,47
Bagulin,La Union,3,48
Balaoan,La Union,3,49
Bangar,La Union,3,50
Bauang North,La Union,3,51
Bauang South,La Union,3,52
Burgos,La Union,3,53
Caba,La Union,3,54
Luna I,La Union,3,55
Luna II,La Union,3,56
Naguilian,La Union,3,57
Pugo,La Union,3,58
Rosario,La Union,3,59
San Gabriel,La Union,3,60
San Juan,La Union,3,61
Santol,La Union,3,62
Sto. Tomas,La Union,3,63
Sudipen,La Union,3,64
Tubao,La Union,3,65
Agno,"Pangasinan I, Lingayen",4,66
Aguilar,"Pangasinan I, Lingayen",4,67
Anda,"Pangasinan I, Lingayen",4,68
Bani,"Pangasinan I, Lingayen",4,69
Basista,"Pangasinan I, Lingayen",4,70
Bayambang I,"Pangasinan I, Lingayen",4,71
Bayambang II,"Pangasinan I, Lingayen",4,72
Binmaley I,"Pangasinan I, Lingayen",4,73
Binmaley II,"Pangasinan I, Lingayen",4,74
Bolinao,"Pangasinan I, Lingayen",4,75
Bugallon I,"Pangasinan I, Lingayen",4,76
Bugallon II,"Pangasinan I, Lingayen",4,77
Burgos,"Pangasinan I, Lingayen",4,78
Calasiao I,"Pangasinan I, Lingayen",4,79
Calasiao II,"Pangasinan I, Lingayen",4,80
Dasol,"Pangasinan I, Lingayen",4,81
Infanta,"Pangasinan I, Lingayen",4,82
Labrador,"Pangasinan I, Lingayen",4,83
Lingayen I,"Pangasinan I, Lingayen",4,84
Lingayen II,"Pangasinan I, Lingayen",4,85
Lingayen III,"Pangasinan I, Lingayen",4,86
Mabini,"Pangasinan I, Lingayen",4,87
Malasiqui I,"Pangasinan I, Lingayen",4,88
Malasiqui II,"Pangasinan I, Lingayen",4,89
Mangatarem I,"Pangasinan I, Lingayen",4,90
Mangatarem II,"Pangasinan I, Lingayen",4,91
Mapandan,"Pangasinan I, Lingayen",4,92
Sta. Barbara I,"Pangasinan I, Lingayen",4,93
Sta. Barbara II,"Pangasinan I, Lingayen",4,94
Sual,"Pangasinan I, Lingayen",4,95
Urbiztondo,"Pangasinan I, Lingayen",4,96
Alcala,"Pangasinan II, Binalonan",5,97
Asingan I,"Pangasinan II, Binalonan",5,98
Asingan II,"Pangasinan II, Binalonan",5,99
Balungao,"Pangasinan II, Binalonan",5,100
Bautista,"Pangasinan II, Binalonan",5,101
Binalonan I,"Pangasinan II, Binalonan",5,102
Binalonan II,"Pangasinan II, Binalonan",5,103
Laoac,"Pangasinan II, Binalonan",5,104
Manaoag,"Pangasinan II, Binalonan",5,105
Mangaldan I,"Pangasinan II, Binalonan",5,106
Mangaldan II,"Pangasinan II, Binalonan",5,107
Natividad,"Pangasinan II, Binalonan",5,108
Pozorrubio I,"Pangasinan II, Binalonan",5,109
Pozorrubio II,"Pangasinan II, Binalonan",5,110
Rosales I,"Pangasinan II, Binalonan",5,111
Rosales II,"Pangasinan II, Binalonan",5,112
San Fabian I,"Pangasinan II, Binalonan",5,113
San Fabian II,"Pangasinan II, Binalonan",5,114
San Jacinto,"Pangasinan II, Binalonan",5,115
San Manuel,"Pangasinan II, Binalonan",5,116
San Nicolas I,"Pangasinan II, Binalonan",5,117
San Nicolas II,"Pangasinan II, Binalonan",5,118
San Quintin,"Pangasinan II, Binalonan",5,119
Sison,"Pangasinan II, Binalonan",5,120
Sta. Maria,"Pangasinan II, Binalonan",5,121
Sto. Tomas,"Pangasinan II, Binalonan",5,122
Tayug I,"Pangasinan II, Binalonan",5,123
Tayug II,"Pangasinan II, Binalonan",5,124
Umingan I,"Pangasinan II, Binalonan",5,125
Umingan II,"Pangasinan II, Binalonan",5,126
Villasis I,"Pangasinan II, Binalonan",5,127
Villasis II,"Pangasinan II, Binalonan",5,128
Dagupan City District I,Dagupan City,6,129
Dagupan City District II,Dagupan City,6,130
Dagupan City District III,Dagupan City,6,131
Dagupan City District IV,Dagupan City,6,132
Laoag City District I,Laoag City,7,133
Laoag City District II,Laoag City,7,134
Laoag City District III,Laoag City,7,135
San Carlos City District I,San Carlos City,100,136
San Carlos City District II,San Carlos City,100,137
San Carlos City District III,San Carlos City,100,138
San Carlos City District IV,San Carlos City,100,139
Urdaneta City District I,Urdaneta City,9,140
Urdaneta City District II,Urdaneta City,9,141
District I,Candon City,10,142
District II,Candon City,10,143
District I,Alaminos City,11,144
District II,Alaminos City,11,145
District III,Alaminos City,11,146
District I,Vigan City,12,147
District II,Vigan City,12,148
District III,Vigan City,12,149
San Fernando I,San Fernando City,36,150
San Fernando II,San Fernando City,36,151
Batac I,Batac City,14,152
