Municipality,Province,Province ID,Municipality ID
BACARRA,ILOCOS NORTE,1,1
BADOC,ILOCOS NORTE,1,2
BANGUI,ILOCOS NORTE,1,3
DUMALNEG,ILOCOS NORTE,1,4
BANNA (ESPIRITU),ILOCOS NORTE,1,5
BURGOS,ILOCOS NORTE,1,6
CURRIMAO,ILOCOS NORTE,1,7
DINGRAS,ILOCOS NORTE,1,8
NUEVA ERA,ILOCOS NORTE,1,9
MARCOS,ILOCOS NORTE,1,10
ADAMS,ILOCOS NORTE,1,11
PAGUDPUD,ILOCOS NORTE,1,12
PAOAY,ILOCOS NORTE,1,13
PASUQUIN,ILOCOS NORTE,1,14
PIDDIG,ILOCOS NORTE,1,15
CARASI,ILOCOS NORTE,1,16
PINILI,ILOCOS NORTE,1,17
SAN NICOLAS,ILOCOS NORTE,1,18
SARRAT,ILOCOS NORTE,1,19
SOLSONA,ILOCOS NORTE,1,20
VINTAR,ILOCOS NORTE,1,21
ALILEM,ILOCOS SUR,2,22
SUGPON,ILOCOS SUR,2,23
SANTA,ILOCOS SUR,2,24
SANTIAGO,ILOCOS SUR,2,25
BANAYOYO,ILOCOS SUR,2,26
LIDLIDDA,ILOCOS SUR,2,27
SAN EMILIO,ILOCOS SUR,2,28
BANTAY,ILOCOS SUR,2,29
SAN ESTEBAN,ILOCOS SUR,2,30
BURGOS,ILOCOS SUR,2,31
CABUGAO,ILOCOS SUR,2,32
CAOAYAN,ILOCOS SUR,2,33
CERVANTES,ILOCOS SUR,2,34
QUIRINO (ANGKAKI),ILOCOS SUR,2,35
MAGSINGAL,ILOCOS SUR,2,36
NARVACAN,ILOCOS SUR,2,37
NAGBUKEL,ILOCOS SUR,2,38
SIGAY,ILOCOS SUR,2,39
SALCEDO (BAUGEN),ILOCOS SUR,2,40
GALIMUYOD,ILOCOS SUR,2,41
GREGORIO DEL PILAR (CONCEPCION),ILOCOS SUR,2,42
SAN JUAN (LAPOG),ILOCOS SUR,2,43
SAN VICENTE,ILOCOS SUR,2,44
SINAIT,ILOCOS SUR,2,45
SANTA CATALINA,ILOCOS SUR,2,46
SANTA CRUZ,ILOCOS SUR,2,47
SANTA LUCIA,ILOCOS SUR,2,48
SANTA MARIA,ILOCOS SUR,2,49
SANTO DOMINGO,ILOCOS SUR,2,50
SAN ILDEFONSO,ILOCOS SUR,2,51
SUYO,ILOCOS SUR,2,52
TAGUDIN,ILOCOS SUR,2,53
AGOO,LA UNION,3,54
ARINGAY,LA UNION,3,55
BACNOTAN,LA UNION,3,56
BAGULIN,LA UNION,3,57
BALAOAN,LA UNION,3,58
BANGAR,LA UNION,3,59
BAUANG,LA UNION,3,60
BURGOS,LA UNION,3,61
CABA,LA UNION,3,62
LUNA,LA UNION,3,63
NAGUILIAN,LA UNION,3,64
PUGO,LA UNION,3,65
ROSARIO,LA UNION,3,66
SAN GABRIEL,LA UNION,3,67
SAN JUAN,LA UNION,3,68
SANTOL,LA UNION,3,69
SANTO TOMAS,LA UNION,3,70
SUDIPEN,LA UNION,3,71
TUBAO,LA UNION,3,72
AGNO,PANGASINAN,4,73
LINGAYEN (Capital),PANGASINAN,4,74
BAYAMBANG,PANGASINAN,4,75
BUGALLON,PANGASINAN,4,76
SANTA BARBARA,PANGASINAN,4,77
AGUILAR,PANGASINAN,4,78
ANDA,PANGASINAN,4,79
BANI,PANGASINAN,4,80
BASISTA,PANGASINAN,4,81
BINMALEY,PANGASINAN,4,82
BOLINAO,PANGASINAN,4,83
BURGOS,PANGASINAN,4,84
CALASIAO,PANGASINAN,4,85
DASOL,PANGASINAN,4,86
INFANTA,PANGASINAN,4,87
LABRADOR,PANGASINAN,4,88
MABINI,PANGASINAN,4,89
MALASIQUI,PANGASINAN,4,90
MANGATAREM,PANGASINAN,4,91
MAPANDAN,PANGASINAN,4,92
SUAL,PANGASINAN,4,93
URBIZTONDO,PANGASINAN,4,94
ALCALA,PANGASINAN,4,95
MANAOAG,PANGASINAN,4,96
ROSALES,PANGASINAN,4,97
SAN NICOLAS,PANGASINAN,4,98
SAN QUINTIN,PANGASINAN,4,99
POZORRUBIO,PANGASINAN,4,100
TAYUG,PANGASINAN,4,101
LAOAC,PANGASINAN,4,102
VILLASIS,PANGASINAN,4,103
ASINGAN,PANGASINAN,4,104
BALUNGAO,PANGASINAN,4,105
BAUTISTA,PANGASINAN,4,106
BINALONAN,PANGASINAN,4,107
MANGALDAN,PANGASINAN,4,108
NATIVIDAD,PANGASINAN,4,109
SAN FABIAN,PANGASINAN,4,110
SAN JACINTO,PANGASINAN,4,111
SAN MANUEL,PANGASINAN,4,112
SISON,PANGASINAN,4,113
SANTA MARIA,PANGASINAN,4,114
SANTO TOMAS,PANGASINAN,4,115
UMINGAN,PANGASINAN,4,116
DAGUPAN CITY,PANGASINAN,4,117
LAOAG CITY (Capital),ILOCOS NORTE,1,118
SAN CARLOS CITY,PANGASINAN,4,119
CITY OF URDANETA,PANGASINAN,4,120
CITY OF CANDON,ILOCOS SUR,2,121
CITY OF ALAMINOS,PANGASINAN,4,122
CITY OF VIGAN (Capital),ILOCOS SUR,2,123
CITY OF SAN FERNANDO (Capital),LA UNION,3,124
CITY OF BATAC,ILOCOS NORTE,1,125
BASCO (Capital),BATANES,5,126
UYUGAN,BATANES,5,127
ITBAYAT,BATANES,5,128
IVANA,BATANES,5,129
MAHATAO,BATANES,5,130
SABTANG,BATANES,5,131
ABULUG,CAGAYAN,6,132
CLAVERIA,CAGAYAN,6,133
TUAO,CAGAYAN,6,134
ALCALA,CAGAYAN,6,135
ALLACAPAN,CAGAYAN,6,136
AMULUNG,CAGAYAN,6,137
APARRI,CAGAYAN,6,138
