barangay,municipality,municipality_id,barangay_id
BALAYONG,SAN CARLOS CITY,862,1
LIBTONG,BACARRA,2,2
SANTA RITA (POB.),BACARRA,2,3
BUYON,BACARRA,2,4
GANAGAN,BACARRA,2,5
MACUPIT,BACARRA,2,6
NAMBARAN,BACARRA,2,7
PASIOCAN,BACARRA,2,8
PULANGI,BACARRA,2,9
SANGIL,BACARRA,2,10
SANTO CRISTO I (POB.),BACARRA,2,11
TAMBIDAO,BACARRA,2,12
CABUSLIGAN,BACARRA,2,13
CABARUAN,BACARRA,2,14
CABULALAAN,BACARRA,2,15
CADARATAN,BACARRA,2,16
CALIOET-LIBONG,BACARRA,2,17
CASILIAN,BACARRA,2,18
PANINAAN,BACARRA,2,19
DURIPES,BACARRA,2,20
PUNGTO,BACARRA,2,21
SAN AGUSTIN II (POB.),BACARRA,2,22
TUBBURAN,BACARRA,2,23
AR-ARUSIP,BADOC,3,24
LACUBEN,BADOC,3,25
GARRETA (POB.),BADOC,3,26
CAMANGA,BADOC,3,27
GABUT NORTE,BADOC,3,28
LABUT,BADOC,3,29
NAPU,BADOC,3,30
MABUSAG NORTE,BADOC,3,31
MADUPAYAS,BADOC,3,32
MORONG,BADOC,3,33
ALAY-NANGBABAAN (ALAY 15-B),BADOC,3,34
PAGSANAHAN SUR,BADOC,3,35
PARANG,BADOC,3,36
SANTA CRUZ NORTE,BADOC,3,37
SAUD,BADOC,3,38
SANTA CRUZ SUR,BADOC,3,39
TUROD,BADOC,3,40
LA VIRGEN MILAGROSA (PAGUETPET),BADOC,3,41
ABACA,BANGUI,4,42
PAYAC,BANGUI,4,43
BACSIL,BANGUI,4,44
BANBAN,BANGUI,4,45
SAN LORENZO (POB.),BANGUI,4,46
BARUYEN,BANGUI,4,47
DADAOR,BANGUI,4,48
KALAW (DUMALNEG),DUMALNEG,5,49
LANAO,BANGUI,4,50
MASIKIL,BANGUI,4,51
NAGBALAGAN,BANGUI,4,52
SAN ISIDRO,DUMALNEG,5,53
TAGUIPORO,BANGUI,4,54
BANGSAR,BANNA (ESPIRITU),6,55
MARCOS (POB.),BANNA (ESPIRITU),6,56
BARBARANGAY,BANNA (ESPIRITU),6,57
BOMITOG,BANNA (ESPIRITU),6,58
BUGASI,BANNA (ESPIRITU),6,59
CAESTEBANAN,BANNA (ESPIRITU),6,60
CARIBQUIB,BANNA (ESPIRITU),6,61
CATAGTAGUEN,BANNA (ESPIRITU),6,62
CRISPINA,BANNA (ESPIRITU),6,63
IMELDA,BANNA (ESPIRITU),6,64
BALIOEG,BANNA (ESPIRITU),6,65
MACAYEPYEP,BANNA (ESPIRITU),6,66
NAGPATAYAN,BANNA (ESPIRITU),6,67
BINACAG,BANNA (ESPIRITU),6,68
SINAMAR,BANNA (ESPIRITU),6,69
TABTABAGAN,BANNA (ESPIRITU),6,70
VALDEZ,BANNA (ESPIRITU),6,71
TABUG,CITY OF BATAC,7,72
COLO,CITY OF BATAC,7,73
SUMADER,CITY OF BATAC,7,74
VALDEZ POB. (CAOAYAN),CITY OF BATAC,7,75
MAGNUANG,CITY OF BATAC,7,76
MAIPALIG,CITY OF BATAC,7,77
NAGUIRANGAN,CITY OF BATAC,7,78
PIMENTEL (CUBOL),CITY OF BATAC,7,79
PARANGOPONG,CITY OF BATAC,7,80
PAYAO,CITY OF BATAC,7,81
QUILING SUR,CITY OF BATAC,7,82
PALONGPONG,CITY OF BATAC,7,83
BAAY,CITY OF BATAC,7,84
BALIGAT,CITY OF BATAC,7,85
BAOA WEST,CITY OF BATAC,7,86
BIL-LOCA,CITY OF BATAC,7,87
BININGAN,CITY OF BATAC,7,88
CAMANDINGAN,CITY OF BATAC,7,89
DARIWDIW,CITY OF BATAC,7,90
SUABIT (POB.),CITY OF BATAC,7,91
NAGBACALAN,CITY OF BATAC,7,92
RAYURAY,CITY OF BATAC,7,93
SAN PEDRO,CITY OF BATAC,7,94
ABLAN SARAT,BURGOS,1397,95
AGAGA,BURGOS,1397,96
BAYOG,BURGOS,1397,97
BUDUAN (MALITUEK),BURGOS,1397,98
BOBON,BURGOS,1397,99
POBLACION,BURGOS,1397,100
NAGSUROT,BURGOS,1397,101
PAAYAS,BURGOS,1397,102
PAGALI,BURGOS,1397,103
TANAP,BURGOS,1397,104
BIMMANGA,CURRIMAO,9,105
COMCOMLOONG,CURRIMAO,9,106
POBLACION II,CURRIMAO,9,107
LANG-AYAN-BARAMBAN,CURRIMAO,9,108
MAGLAOI CENTRO,CURRIMAO,9,109
PAGULUDAN-SALINDEG,CURRIMAO,9,110
PANGIL,CURRIMAO,9,111
PIAS NORTE,CURRIMAO,9,112
BARESBES,DINGRAS,10,113
BARONG,DINGRAS,10,114
GUERRERO (POB.),DINGRAS,10,115
LANAS,DINGRAS,10,116
SAN FRANCISCO (SURRATE),DINGRAS,10,117
PARADO (BANGAY),DINGRAS,10,118
CALI,DINGRAS,10,119
SAN MARCELINO (PADONG),DINGRAS,10,120
SULQUIANO (SIDIRAN),DINGRAS,10,121
VER (NAGLAYAAN),DINGRAS,10,122
BACSIL,DINGRAS,10,123
CAPASAN,DINGRAS,10,124
MADAMBA (POB.),DINGRAS,10,125
ESPIRITU,DINGRAS,10,126
FOZ,DINGRAS,10,127
MANDALOQUE,DINGRAS,10,128
PERALTA (POB.),DINGRAS,10,129
SAN ESTEBAN,DINGRAS,10,130
SAGPATAN,DINGRAS,10,131
SAN MARCOS,DINGRAS,10,132
SUYO,DINGRAS,10,133
CARAY,NUEVA ERA,11,134
BARANGOBONG,NUEVA ERA,11,135
VALDEZ (BIDING),MARCOS,12,136
CABITTAURAN,NUEVA ERA,11,137
CACAFEAN,MARCOS,12,138
ELIZABETH (CULAO),MARCOS,12,139
ESCODA,MARCOS,12,140
DAQUIOAG,MARCOS,12,141
FERDINAND,MARCOS,12,142
FORTUNA,MARCOS,12,143
IMELDA (CAPARIAAN),MARCOS,12,144
MABUTI,MARCOS,12,145
LYDIA (POB.),MARCOS,12,146
NAGUILLAN (PAGPAG-ONG),NUEVA ERA,11,147
POBLACION,NUEVA ERA,11,148
PACIFICO (AGUNIT),MARCOS,12,149
SANTIAGO,MARCOS,12,150
SANTO NINO,NUEVA ERA,11,151
TABUCBUC (RAGAS),MARCOS,12,152
ADAMS (POB.),ADAMS,13,153
AGGASI,PAGUDPUD,14,154
BURAYOC,PAGUDPUD,14,155
CAPARISPISAN,PAGUDPUD,14,156
CAUNAYAN,PAGUDPUD,14,157
DAMPIG,PAGUDPUD,14,158
BALAOI,PAGUDPUD,14,159
BADUANG,PAGUDPUD,14,160
POBLACION  2,PAGUDPUD,14,161
POBLACION  1,PAGUDPUD,14,162
PANCIAN,PAGUDPUD,14,163
PASALENG,PAGUDPUD,14,164
SAGUIGUI,PAGUDPUD,14,165
SAUD,PAGUDPUD,14,166
SUBEC,PAGUDPUD,14,167
TARRAG,PAGUDPUD,14,168
BACSIL,PAOAY,15,169
PARATONG,PAOAY,15,170
BGY. 66 - BANQUEROHAN (BGY. 43),LEGAZPI CITY  (Capital),16,171
MONTE,PAOAY,15,172
MUMULAAN,PAOAY,15,173
NAGBACALAN,PAOAY,15,174
NALASIN,PAOAY,15,175
NANGUYUDAN,PAOAY,15,176
VERONICA,PAOAY,15,177
DOLORES,PAOAY,15,178
PASIL,PAOAY,15,179
SALBANG (POB.),PAOAY,15,180
SIDEG,PAOAY,15,181
SUBA,PAOAY,15,182
BINSANG,PASUQUIN,17,183
SUSUGAEN,PASUQUIN,17,184
CARUAN,PASUQUIN,17,185
CARUSIKIS,PASUQUIN,17,186
NGABANGAB,PASUQUIN,17,187
DAVILA,PASUQUIN,17,188
DILANIS,PASUQUIN,17,189
DILAVO,PASUQUIN,17,190
POBLACION 3,PASUQUIN,17,191
SANTA MATILDE,PASUQUIN,17,192
NAGLICUAN,PASUQUIN,17,193
NAGSANGA,PASUQUIN,17,194
PANGIL,PASUQUIN,17,195
POBLACION 1,PASUQUIN,17,196
PUYUPUYAN,PASUQUIN,17,197
SAN JUAN,PASUQUIN,17,198
SANTA CATALINA,PASUQUIN,17,199
SULBEC,PASUQUIN,17,200
SURONG,PASUQUIN,17,201
TABUNGAO,PASUQUIN,17,202
TADAO,PASUQUIN,17,203
SUCSUQUEN,PIDDIG,18,204
ABUCAY,PIDDIG,18,205
BOYBOY,PIDDIG,18,206
CALAMBEG,PIDDIG,18,207
BARBAQUESO (POB.),CARASI,19,208
DUPITAC,PIDDIG,18,209
ESTANCIA,PIDDIG,18,210
GAYAMAT,PIDDIG,18,211
LAGANDIT,PIDDIG,18,212
LIBNAOAN,PIDDIG,18,213
MARUAYA,PIDDIG,18,214
CABAROAN (POB.),PIDDIG,18,215
SAN ANTONIO,PIDDIG,18,216
SANTA MARIA,PIDDIG,18,217
TANGAOAN,PIDDIG,18,218
MANGITAYAG,PIDDIG,18,219
VIRBIRA,CARASI,19,220
BADIO,PINILI,20,221
BARBAR,PINILI,20,222
LUMBAAN-BICBICA,PINILI,20,223
BUANGA,PINILI,20,224
BULBULALA,PINILI,20,225
CABAROAN,PINILI,20,226
DARAT,PINILI,20,227
PAGDILAO (POB.),PINILI,20,228
GULPENG,PINILI,20,229
LILIPUTEN,PINILI,20,230
NAGTRIGOAN,PINILI,20,231
BUNGRO,PINILI,20,232
PURITAC,PINILI,20,233
PUZOL,PINILI,20,234
SALANAP,PINILI,20,235
SANTO TOMAS,PINILI,20,236
SANTA ASUNCION (SAMAC),SAN NICOLAS,1622,237
SANTA CECILIA (BARABAR),SAN NICOLAS,1622,238
SAN PEDRO (BINGAO),SAN NICOLAS,1622,239
SAN AGUSTIN,SAN NICOLAS,1622,240
SAN GUILLERMO,SAN NICOLAS,1622,241
SAN GREGORIO (POB.),SAN NICOLAS,1622,242
SAN JUAN BAUTISTA (POB.),SAN NICOLAS,1622,243
SANTA MONICA (NAGREBCAN),SAN NICOLAS,1622,244
SAN MARCOS (PAYAS),SAN NICOLAS,1622,245
SAN ILDEFONSO (POB.),SAN NICOLAS,1622,246
SAN ROQUE,SARRAT,22,247
SAN MARCOS,SARRAT,22,248
SAN JOSE,SARRAT,22,249
SAN MANUEL,SARRAT,22,250
SAN FELIPE,SARRAT,22,251
SAN CRISTOBAL,SARRAT,22,252
SAN ANTONIO,SARRAT,22,253
SAN BERNABE,SARRAT,22,254
SAN LEANDRO (POB.),SARRAT,22,255
SAN FRANCISCO (POB.),SARRAT,22,256
SANTA ROSA,SARRAT,22,257
CAPURICTAN,SOLSONA,23,258
BAGBAGO,SOLSONA,23,259
BARCELONA,SOLSONA,23,260
