district,division,division_id,district_id
San Carlos City District I,San Carlos City,130,1
Bacarra I,Ilocos Norte,2,2
Bacarra II,Ilocos Norte,2,3
Badoc,Ilocos Norte,2,4
Bangui,Ilocos Norte,2,5
Banna (Espiritu),Ilocos Norte,2,6
Batac I,Batac City,3,7
Batac II,Batac City,3,8
Burgos,Ilocos Norte,2,9
Currimao,Ilocos Norte,2,10
Dingras I,Ilocos Norte,2,11
Dingras II,Ilocos Norte,2,12
Marcos-Nueva Era,Ilocos Norte,2,13
Adams-Pagudpud,Ilocos Norte,2,14
Paoay,Ilocos Norte,2,15
Albay II District,Legaspi City,4,16
Pasuquin,Ilocos Norte,2,17
Piddig,Ilocos Norte,2,18
Pinili,Ilocos Norte,2,19
San Nicolas,Ilocos Norte,2,20
Sarrat,Ilocos Norte,2,21
Solsona,Ilocos Norte,2,22
Vintar I,Ilocos Norte,2,23
Polomolok East,South Cotabato,5,24
Vintar II,Ilocos Norte,2,25
Alilem-Sugpon,Ilocos Sur,6,26
Banayoyo-Lidlidda-San Emilio,Ilocos Sur,6,27
Bantay,Ilocos Sur,6,28
Burgos-San Esteban,Ilocos Sur,6,29
Cabugao,Ilocos Sur,6,30
District II,Candon City,7,31
District I,Candon City,7,32
Caoayan,Ilocos Sur,6,33
Cervantes-Quirino,Ilocos Sur,6,34
Magsingal,Ilocos Sur,6,35
Narvacan North,Ilocos Sur,6,36
Narvacan South-Nagbukel,Ilocos Sur,6,37
Salcedo-Galimuyod-Sigay-Del Pilar,Ilocos Sur,6,38
San Juan,Ilocos Sur,6,39
San Vicente,Ilocos Sur,6,40
Lake Sebu East,South Cotabato,5,41
Santa,Ilocos Sur,6,42
Santiago,Ilocos Sur,6,43
Sinait,Ilocos Sur,6,44
Sta. Catalina,Ilocos Sur,6,45
Sta. Cruz,Ilocos Sur,6,46
Sta. Lucia,Ilocos Sur,6,47
Sta. Maria,Ilocos Sur,6,48
Sto. Domingo-San Ildefonso,Ilocos Sur,6,49
Suyo,Ilocos Sur,6,50
Tagudin,Ilocos Sur,6,51
District II,Vigan City,8,52
District I,Vigan City,8,53
District III,Vigan City,8,54
Agoo East,La Union,9,55
Datu Blah Sinsuat,Maguindanao II,10,56
Agoo West,La Union,9,57
Aringay,La Union,9,58
Bacnotan,La Union,9,59
Buluan,Maguindanao I,11,60
Bagulin,La Union,9,61
Pili,Camarines Sur,12,62
Tulunan South,North Cotabato,13,63
Balaoan,La Union,9,64
Bangar,La Union,9,65
Libungan East,North Cotabato,13,66
Bauang North,La Union,9,67
Bauang South,La Union,9,68
Makilala Central,North Cotabato,13,69
Burgos,La Union,9,70
Caba,La Union,9,71
Bongabong North,Oriental Mindoro,14,72
Luna I,La Union,9,73
Luna II,La Union,9,74
Tuba,Benguet,15,75
Naguilian,La Union,9,76
Koronadal West District II,Koronadal City,16,77
Tuguegarao West Educational Zone,Tuguegarao City,17,78
Pugo,La Union,9,79
Rosario,La Union,9,80
Bangued West,Abra,18,81
San Fernando I,San Fernando City,72,82
San Fernando II,San Fernando City,72,83
San Gabriel,La Union,9,84
Passi City District I (West),Passi City,20,85
San Juan,La Union,9,86
Santol,La Union,9,87
Sto. Tomas,La Union,9,88
Sudipen,La Union,9,89
Tubao,La Union,9,90
Agno,"Pangasinan I, Lingayen",21,91
Aguilar,"Pangasinan I, Lingayen",21,92
District I,Alaminos City,22,93
District II,Alaminos City,22,94
District III,Alaminos City,22,95
Anda,"Pangasinan I, Lingayen",21,96
Bani,"Pangasinan I, Lingayen",21,97
Basista,"Pangasinan I, Lingayen",21,98
Bayambang I,"Pangasinan I, Lingayen",21,99
Bayambang II,"Pangasinan I, Lingayen",21,100
Binmaley I,"Pangasinan I, Lingayen",21,101
Binmaley II,"Pangasinan I, Lingayen",21,102
Bolinao,"Pangasinan I, Lingayen",21,103
Bugallon I,"Pangasinan I, Lingayen",21,104
Bugallon II,"Pangasinan I, Lingayen",21,105
Burgos,"Pangasinan I, Lingayen",21,106
Calasiao I,"Pangasinan I, Lingayen",21,107
Calasiao II,"Pangasinan I, Lingayen",21,108
Dasol,"Pangasinan I, Lingayen",21,109
Infanta,"Pangasinan I, Lingayen",21,110
Labrador,"Pangasinan I, Lingayen",21,111
Lingayen I,"Pangasinan I, Lingayen",21,112
Lingayen II,"Pangasinan I, Lingayen",21,113
Lingayen III,"Pangasinan I, Lingayen",21,114
Mabini,"Pangasinan I, Lingayen",21,115
Malasiqui I,"Pangasinan I, Lingayen",21,116
Malasiqui II,"Pangasinan I, Lingayen",21,117
Mangatarem I,"Pangasinan I, Lingayen",21,118
Mangatarem II,"Pangasinan I, Lingayen",21,119
Mapandan,"Pangasinan I, Lingayen",21,120
Sta. Barbara I,"Pangasinan I, Lingayen",21,121
Sta. Barbara II,"Pangasinan I, Lingayen",21,122
Sual,"Pangasinan I, Lingayen",21,123
Urbiztondo,"Pangasinan I, Lingayen",21,124
Alcala,"Pangasinan II, Binalonan",23,125
Silang I,Cavite,24,126
Asingan I,"Pangasinan II, Binalonan",23,127
Asingan II,"Pangasinan II, Binalonan",23,128
Kulaman I (Sen. N. Aquino),Sultan Kudarat,25,129
Balungao,"Pangasinan II, Binalonan",23,130
Bautista,"Pangasinan II, Binalonan",23,131
Binalonan I,"Pangasinan II, Binalonan",23,132
Roxas City District II,Roxas City,26,133
Binalonan II,"Pangasinan II, Binalonan",23,134
Laoac,"Pangasinan II, Binalonan",23,135
Botolan South,Zambales,27,136
Manaoag,"Pangasinan II, Binalonan",23,137
Mangaldan I,"Pangasinan II, Binalonan",23,138
Mati North,Mati City,28,139
West Sibutu/Sitangkai,Tawi-Tawi,29,140
Mangaldan II,"Pangasinan II, Binalonan",23,141
Natividad,"Pangasinan II, Binalonan",23,142
Pozorrubio I,"Pangasinan II, Binalonan",23,143
Sto. Nino,Cagayan,30,144
Pozorrubio II,"Pangasinan II, Binalonan",23,145
Rosales I,"Pangasinan II, Binalonan",23,146
Rosales II,"Pangasinan II, Binalonan",23,147
San Fabian I,"Pangasinan II, Binalonan",23,148
Talaingod,Davao del Norte,31,149
San Fabian II,"Pangasinan II, Binalonan",23,150
San Jacinto,"Pangasinan II, Binalonan",23,151
San Manuel,"Pangasinan II, Binalonan",23,152
San Nicolas I,"Pangasinan II, Binalonan",23,153
San Nicolas II,"Pangasinan II, Binalonan",23,154
San Quintin,"Pangasinan II, Binalonan",23,155
Sison,"Pangasinan II, Binalonan",23,156
West Maitum,Sarangani,32,157
Magpet  East,North Cotabato,13,158
Sta. Maria,"Pangasinan II, Binalonan",23,159
T ' Boli East,South Cotabato,5,160
Sto. Tomas,"Pangasinan II, Binalonan",23,161
Tayug I,"Pangasinan II, Binalonan",23,162
Tayug II,"Pangasinan II, Binalonan",23,163
Umingan I,"Pangasinan II, Binalonan",23,164
Umingan II,"Pangasinan II, Binalonan",23,165
Villasis I,"Pangasinan II, Binalonan",23,166
Villasis II,"Pangasinan II, Binalonan",23,167
Dagupan City District I,Dagupan City,33,168
Dagupan City District II,Dagupan City,33,169
Mati South,Mati City,28,170
Dagupan City District III,Dagupan City,33,171
Dagupan City District IV,Dagupan City,33,172
Pagsanjan,Laguna,34,173
Laoag City District I,Laoag City,35,174
Bustos,Bulacan,36,175
Laoag City District II,Laoag City,35,176
Laoag City District III,Laoag City,35,177
San Carlos City District II,San Carlos City,130,178
New Bataan,Davao De Oro,37,179
San Carlos City District III,San Carlos City,130,180
San Carlos City District IV,San Carlos City,130,181
San Jose,Batangas,38,182
Urdaneta City District I,Urdaneta City,39,183
Urdaneta City District II,Urdaneta City,39,184
San Pascual,Batangas,38,185
Porac East,Pampanga,40,186
District Learning Center I,Tacloban City,41,187
Basco,Batanes,42,188
Itbayat,Batanes,42,189
Cuyapo,Nueva Ecija,43,190
Ivana-Uyugan,Batanes,42,191
San Isidro South,Davao Oriental,44,192
Mahatao,Batanes,42,193
Sabtang,Batanes,42,194
Abulug,Cagayan,30,195
Alcala West,Cagayan,30,196
Alcala East,Cagayan,30,197
Allacapan North,Cagayan,30,198
Allacapan South,Cagayan,30,199
Carmen North,North Cotabato,13,200
West Alabel,Sarangani,32,201
Amulung East,Cagayan,30,202
Amulung West,Cagayan,30,203
Aparri East,Cagayan,30,204
Aparri South Educational Zone,Cagayan,30,205
Aparri West,Cagayan,30,206
Baggao North,Cagayan,30,207
Baggao East,Cagayan,30,208
Baggao West,Cagayan,30,209
Baggao South,Cagayan,30,210
Ballesteros,Cagayan,30,211
Buguey South,Cagayan,30,212
Buguey North,Cagayan,30,213
Calayan West,Cagayan,30,214
Calayan East,Cagayan,30,215
Camalaniugan,Cagayan,30,216
Claveria East,Cagayan,30,217
Enrile East,Cagayan,30,218
Enrile West,Cagayan,30,219
Gattaran East,Cagayan,30,220
Gattaran Central,Cagayan,30,221
Gattaran West,Cagayan,30,222
Gonzaga East,Cagayan,30,223
Gonzaga West,Cagayan,30,224
Iguig,Cagayan,30,225
Lal-lo Central,Cagayan,30,226
Lal-lo North,Cagayan,30,227
Lal-lo South,Cagayan,30,228
Lasam East,Cagayan,30,229
Lasam West,Cagayan,30,230
Pamplona,Cagayan,30,231
Penablanca East,Cagayan,30,232
Penablanca West,Cagayan,30,233
Piat,Cagayan,30,234
Rizal,Cagayan,30,235
Sanchez Mira,Cagayan,30,236
Solana North,Cagayan,30,237
Solana South,Cagayan,30,238
Solana West Educational Zone,Cagayan,30,239
Sta. Ana,Cagayan,30,240
Sta. Praxedes,Cagayan,30,241
Sta. Teresita,Cagayan,30,242
Tuao East,Cagayan,30,243
Tuao West,Cagayan,30,244
Alicia North,Isabela,45,245
Alicia East,Isabela,45,246
Alicia South,Isabela,45,247
Angadanan East,Isabela,45,248
South Malungon,Sarangani,32,249
Angadanan West,Isabela,45,250
Malapatan III,Sarangani,32,251
Malapatan II,Sarangani,32,252
Aurora,Isabela,45,253
Benito Soliven,Isabela,45,254
East Maitum,Sarangani,32,255
West Kiamba,Sarangani,32,256
Burgos,Isabela,45,257
Cabagan,Isabela,45,258
Cabatuan East,Isabela,45,259
Cabatuan West,Isabela,45,260
Cauayan Northeast District,Cauayan City,46,261
Cauayan East District,Cauayan City,46,262
Cauayan South District,Cauayan City,46,263
Cauayan West District,Cauayan City,46,264
Cauayan North District,Cauayan City,46,265
Cordon North,Isabela,45,266
Cordon South,Isabela,45,267
Delfin Albano,Isabela,45,268
Echague East,Isabela,45,269
Echague South,Isabela,45,270
Echague West,Isabela,45,271
Gamu,Isabela,45,272
East Maasim,Sarangani,32,273
East,City of Ilagan,47,274
North,City of Ilagan,47,275
South Glan,Sarangani,32,276
South,City of Ilagan,47,277
North Glan,Sarangani,32,278
Southwest Alabel,Sarangani,32,279
San Antonio,City of Ilagan,47,280
West,City of Ilagan,47,281
Northwest,City of Ilagan,47,282
Jones East,Isabela,45,283
Jones West,Isabela,45,284
Luna,Isabela,45,285
Mallig,Isabela,45,286
Naguilian,Isabela,45,287
Palanan,Isabela,45,288
Quezon,Isabela,45,289
Naic I,Cavite,24,290
Carmen South,Special Geographic Area Division,48,291
Quirino,Isabela,45,292
Libungan West,North Cotabato,13,293
Makilala West,North Cotabato,13,294
Ramon,Isabela,45,295
Malaybalay City District I,Malaybalay City,49,296
Buenavista,Bohol,50,297
Sablayan North,Occidental Mindoro,51,298
Reina Mercedes,Isabela,45,299
Malaybalay City District X,Malaybalay City,49,300
Roxas East,Isabela,45,301
Roxas West,Isabela,45,302
San Agustin,Isabela,45,303
San Guillermo,Isabela,45,304
Malaybalay City District II,Malaybalay City,49,305
San Jose Del Monte East,City of San Jose Del Monte,52,306
Bauan,Batangas,38,307
San Isidro,Isabela,45,308
Sta. Maria,Isabela,45,309
San Manuel,Isabela,45,310
Lebak Central,Sultan Kudarat,25,311
Kalamansig II,Sultan Kudarat,25,312
Rizal,Palawan,53,313
San Mariano I,Isabela,45,314
Iligan City East I District,Iligan City,54,315
San Mariano II,Isabela,45,316
San Mateo North,Isabela,45,317
San Mateo South,Isabela,45,318
San Pablo,Isabela,45,319
Santiago North,Santiago City,55,320
Santiago East,Santiago City,55,321
Santiago South,Santiago City,55,322
Santiago West,Santiago City,55,323
Sto. Tomas,Isabela,45,324
Tumauini North,Isabela,45,325
Tumauini South,Isabela,45,326
Aritao East,Nueva Vizcaya,56,327
Aritao West,Nueva Vizcaya,56,328
Bagabag II,Nueva Vizcaya,56,329
Bagabag I,Nueva Vizcaya,56,330
Bambang I,Nueva Vizcaya,56,331
Bambang II,Nueva Vizcaya,56,332
Ambaguio,Nueva Vizcaya,56,333
Bayombong I,Nueva Vizcaya,56,334
Bayombong II,Nueva Vizcaya,56,335
Diadi,Nueva Vizcaya,56,336
Dupax del Norte II,Nueva Vizcaya,56,337
Dupax del Norte I,Nueva Vizcaya,56,338
Dupax del Sur,Nueva Vizcaya,56,339
Kasibu West,Nueva Vizcaya,56,340
Kasibu East,Nueva Vizcaya,56,341
Western Kayapa,Nueva Vizcaya,56,342
Eastern Kayapa,Nueva Vizcaya,56,343
Quezon,Nueva Vizcaya,56,344
Solano I,Nueva Vizcaya,56,345
Solano II,Nueva Vizcaya,56,346
Alfonso Castañeda,Nueva Vizcaya,56,347
Sta. Fe,Nueva Vizcaya,56,348
Villaverde,Nueva Vizcaya,56,349
Aglipay,Quirino,57,350
Cabarroguis,Quirino,57,351
Diffun I,Quirino,57,352
Diffun II,Quirino,57,353
Maddela Zone II,Quirino,57,354
Maddela Zone I,Quirino,57,355
Nagtipunan,Quirino,57,356
Saguday,Quirino,57,357
Tuguegarao Northeast Educational Zone,Tuguegarao City,17,358
Tuguegarao East Educational Zone,Tuguegarao City,17,359
Tuguegarao North Educational Zone,Tuguegarao City,17,360
Baler,Aurora,58,361
Casiguran,Aurora,58,362
Dilasag,Aurora,58,363
Dinalungan,Aurora,58,364
Dingalan,Aurora,58,365
Dipaculao,Aurora,58,366
Ma. Aurora,Aurora,58,367
San Luis,Aurora,58,368
Abucay,Bataan,59,369
Bagac,Bataan,59,370
Balanga City West,Balanga City,60,371
Balanga City East,Balanga City,60,372
Dinalupihan West,Bataan,59,373
Dinalupihan East,Bataan,59,374
Hermosa,Bataan,59,375
Limay,Bataan,59,376
Mariveles,Bataan,59,377
Morong,Bataan,59,378
Orani,Bataan,59,379
Orion,Bataan,59,380
Pilar,Bataan,59,381
Samal,Bataan,59,382
Angat,Bulacan,36,383
Dona Remedios Trinidad,Bulacan,36,384
Balagtas,Bulacan,36,385
Baliuag North,Bulacan,36,386
Baliuag South,Bulacan,36,387
Bocaue,Bulacan,36,388
Bulacan,Bulacan,36,389
Calumpit,Bulacan,36,390
Guiguinto,Bulacan,36,391
Hagonoy East,Bulacan,36,392
Hagonoy West,Bulacan,36,393
North District,Malolos City,61,394
South District,Malolos City,61,395
Marilao,Bulacan,36,396
Meycauayan East,Meycauayan City,62,397
Meycauayan West,Meycauayan City,62,398
Norzagaray,Bulacan,36,399
Obando,Bulacan,36,400
Pandi,Bulacan,36,401
Paombong,Bulacan,36,402
Plaridel,Bulacan,36,403
Pulilan,Bulacan,36,404
San Ildefonso North,Bulacan,36,405
San Ildefonso South,Bulacan,36,406
San Miguel North,Bulacan,36,407
San Miguel South,Bulacan,36,408
San Rafael,Bulacan,36,409
Sta. Maria,Bulacan,36,410
Aliaga,Nueva Ecija,43,411
Bongabon,Nueva Ecija,43,412
Cabiao,Nueva Ecija,43,413
Carranglan,Nueva Ecija,43,414
Gabaldon,Nueva Ecija,43,415
Gapan North,Gapan City,63,416
Gapan South,Gapan City,63,417
Gen. M. Natividad,Nueva Ecija,43,418
Gen. Tinio,Nueva Ecija,43,419
Guimba East,Nueva Ecija,43,420
Guimba West,Nueva Ecija,43,421
Jaen,Nueva Ecija,43,422
Laur,Nueva Ecija,43,423
