legislative_district,district,district_id,Legislative district_id
3rd District,San Carlos City District I,1,1
1st District,Bacarra I,2,2
1st District,Bacarra II,3,3
2nd District,Badoc,4,4
1st District,Bangui,5,5
2nd District,Banna (Espiritu),6,6
2nd District,Batac I,7,7
2nd District,Batac II,8,8
1st District,Burgos,2219,9
2nd District,Currimao,10,10
2nd District,Dingras I,11,11
2nd District,Dingras II,12,12
2nd District,Marcos-Nueva Era,13,13
1st District,Adams-Pagudpud,14,14
2nd District,Paoay,15,15
2nd District,Albay II District,16,16
1st District,Pasuquin,17,17
1st District,Piddig,18,18
2nd District,Pinili,19,19
2nd District,San Nicolas,2566,20
1st District,Sarrat,21,21
2nd District,Solsona,22,22
1st District,Vintar I,23,23
1st District,Polomolok East,24,24
1st District,Vintar II,25,25
2nd District,Alilem-Sugpon,26,26
1st District,Alilem-Sugpon,26,27
2nd District,Banayoyo-Lidlidda-San Emilio,27,28
1st District,Bantay,28,29
2nd District,Burgos-San Esteban,29,30
1st District,Cabugao,30,31
2nd District,District II,2546,32
2nd District,District I,2544,33
1st District,Caoayan,33,34
2nd District,Cervantes-Quirino,34,35
1st District,Magsingal,35,36
2nd District,Narvacan North,36,37
2nd District,Narvacan South-Nagbukel,37,38
1st District,Narvacan South-Nagbukel,37,39
2nd District,Salcedo-Galimuyod-Sigay-Del Pilar,38,40
1st District,San Juan,2478,41
1st District,San Vicente,1591,42
2nd District,Lake Sebu East,41,43
2nd District,Santa,42,44
2nd District,Santiago,2159,45
1st District,Sinait,44,46
1st District,Sta. Catalina,45,47
2nd District,Sta. Cruz,776,48
2nd District,Sta. Lucia,47,49
2nd District,Sta. Maria,1759,50
1st District,Sto. Domingo-San Ildefonso,49,51
2nd District,Suyo,50,52
2nd District,Tagudin,51,53
1st District,District II,2546,54
1st District,District I,2544,55
1st District,District III,2545,56
2nd District,Agoo East,55,57
1st District,Datu Blah Sinsuat,56,58
2nd District,Agoo West,57,59
2nd District,Aringay,58,60
1st District,Bacnotan,59,61
2nd District,Buluan,60,62
2nd District,Bagulin,61,63
3rd District,Pili,62,64
3rd District,Tulunan South,63,65
1st District,Balaoan,64,66
1st District,Bangar,65,67
1st District,Libungan East,66,68
2nd District,Bauang North,67,69
2nd District,Bauang South,68,70
2nd District,Makilala Central,69,71
2nd District,Burgos,2219,72
2nd District,Caba,71,73
2nd District,Bongabong North,72,74
1st District,Luna I,73,75
1st District,Luna II,74,76
Lone District,Tuba,75,77
2nd District,Naguilian,287,78
2nd District,Koronadal West District II,77,79
3rd District,Tuguegarao West Educational Zone,78,80
2nd District,Pugo,79,81
2nd District,Rosario,1586,82
Lone District,Bangued West,81,83
1st District,San Fernando I,926,84
1st District,San Fernando II,930,85
1st District,San Gabriel,84,86
4th District,Passi City District I (West),85,87
1st District,Santol,87,88
2nd District,Sto. Tomas,479,89
1st District,Sudipen,89,90
2nd District,Tubao,90,91
1st District,Agno,91,92
2nd District,Aguilar,92,93
1st District,Anda,1241,94
1st District,Bani,97,95
2nd District,Basista,98,96
3rd District,Bayambang I,99,97
3rd District,Bayambang II,100,98
2nd District,Binmaley I,101,99
2nd District,Binmaley II,102,100
1st District,Bolinao,103,101
2nd District,Bugallon I,104,102
2nd District,Bugallon II,105,103
3rd District,Calasiao I,107,104
3rd District,Calasiao II,108,105
1st District,Dasol,109,106
1st District,Infanta,667,107
2nd District,Labrador,111,108
2nd District,Lingayen I,112,109
2nd District,Lingayen II,113,110
2nd District,Lingayen III,114,111
1st District,Mabini,1908,112
3rd District,Malasiqui I,116,113
3rd District,Malasiqui II,117,114
2nd District,Mangatarem I,118,115
2nd District,Mangatarem II,119,116
3rd District,Mapandan,120,117
3rd District,Sta. Barbara I,121,118
3rd District,Sta. Barbara II,122,119
1st District,Sual,123,120
2nd District,Urbiztondo,124,121
5th District,Alcala,125,122
5th District,Silang I,126,123
6th District,Asingan I,127,124
6th District,Asingan II,128,125
2nd District,Kulaman I (Sen. N. Aquino),129,126
6th District,Balungao,130,127
5th District,Bautista,131,128
5th District,Binalonan I,132,129
1st District,Roxas City District II,133,130
5th District,Binalonan II,134,131
5th District,Laoac,135,132
2nd District,Botolan South,136,133
4th District,Manaoag,137,134
4th District,Mangaldan I,138,135
2nd District,Mati North,139,136
Lone District,West Sibutu/Sitangkai,140,137
4th District,Mangaldan II,141,138
6th District,Natividad,142,139
5th District,Pozorrubio I,143,140
2nd District,Sto. Nino,1619,141
5th District,Pozorrubio II,145,142
6th District,Rosales I,146,143
6th District,Rosales II,147,144
4th District,San Fabian I,148,145
1st District,Talaingod,149,146
4th District,San Fabian II,150,147
4th District,San Jacinto,993,148
6th District,San Manuel,504,149
6th District,San Nicolas I,153,150
6th District,San Nicolas II,154,151
6th District,San Quintin,2082,152
5th District,Sison,2247,153
Lone District,West Maitum,157,154
2nd District,Magpet  East,158,155
6th District,Sta. Maria,1759,156
2nd District,T ' Boli East,160,157
5th District,Sto. Tomas,479,158
6th District,Tayug I,162,159
6th District,Tayug II,163,160
6th District,Umingan I,164,161
6th District,Umingan II,165,162
5th District,Villasis I,166,163
5th District,Villasis II,167,164
4th District,Dagupan City District I,168,165
4th District,Dagupan City District II,169,166
2nd District,Mati South,170,167
4th District,Dagupan City District III,171,168
4th District,Dagupan City District IV,172,169
4th District,Pagsanjan,173,170
1st District,Laoag City District I,174,171
2nd District,Bustos,175,172
1st District,Laoag City District II,176,173
1st District,Laoag City District III,177,174
3rd District,San Carlos City District II,178,175
1st District,New Bataan,179,176
3rd District,San Carlos City District III,180,177
3rd District,San Carlos City District IV,181,178
4th District,San Jose,2246,179
5th District,Urdaneta City District I,183,180
5th District,Urdaneta City District II,184,181
2nd District,San Pascual,185,182
2nd District,Porac East,186,183
1st District,District Learning Center I,187,184
Lone District,Basco,188,185
Lone District,Itbayat,189,186
1st District,Cuyapo,190,187
Lone District,Ivana-Uyugan,191,188
2nd District,San Isidro South,192,189
Lone District,Mahatao,193,190
Lone District,Sabtang,194,191
2nd District,Abulug,195,192
1st District,Alcala West,196,193
1st District,Alcala East,197,194
2nd District,Allacapan North,198,195
2nd District,Allacapan South,199,196
3rd District,Carmen North,2008,197
Lone District,West Alabel,201,198
3rd District,Amulung East,202,199
3rd District,Amulung West,203,200
1st District,Aparri East,204,201
1st District,Aparri South Educational Zone,205,202
1st District,Aparri West,206,203
1st District,Baggao North,207,204
1st District,Baggao East,208,205
1st District,Baggao West,209,206
1st District,Baggao South,210,207
2nd District,Ballesteros,211,208
1st District,Buguey South,212,209
1st District,Buguey North,213,210
2nd District,Calayan West,214,211
2nd District,Calayan East,215,212
1st District,Camalaniugan,216,213
2nd District,Claveria East,217,214
3rd District,Enrile East,218,215
3rd District,Enrile West,219,216
1st District,Gattaran East,220,217
1st District,Gattaran Central,221,218
1st District,Gattaran West,222,219
1st District,Gonzaga East,223,220
1st District,Gonzaga West,224,221
3rd District,Iguig,225,222
1st District,Lal-lo Central,226,223
1st District,Lal-lo North,227,224
1st District,Lal-lo South,228,225
2nd District,Lasam East,229,226
2nd District,Lasam West,230,227
2nd District,Pamplona,921,228
3rd District,Penablanca East,232,229
3rd District,Penablanca West,233,230
2nd District,Piat,234,231
2nd District,Rizal,2520,232
2nd District,Sanchez Mira,236,233
3rd District,Solana North,237,234
3rd District,Solana South,238,235
3rd District,Solana West Educational Zone,239,236
1st District,Sta. Ana,1960,237
2nd District,Sta. Praxedes,241,238
1st District,Sta. Teresita,573,239
3rd District,Tuao East,243,240
3rd District,Tuao West,244,241
3rd District,Alicia North,245,242
3rd District,Alicia East,246,243
3rd District,Alicia South,247,244
3rd District,Angadanan East,248,245
Lone District,South Malungon,249,246
3rd District,Angadanan West,250,247
Lone District,Malapatan III,251,248
Lone District,Malapatan II,252,249
2nd District,Aurora,253,250
2nd District,Benito Soliven,254,251
Lone District,East Maitum,255,252
Lone District,West Kiamba,256,253
1st District,Cabagan,258,254
3rd District,Cabatuan East,259,255
3rd District,Cabatuan West,260,256
3rd District,Cauayan Northeast District,261,257
3rd District,Cauayan East District,262,258
3rd District,Cauayan South District,263,259
3rd District,Cauayan West District,264,260
3rd District,Cauayan North District,265,261
4th District,Cordon North,266,262
4th District,Cordon South,267,263
1st District,Delfin Albano,268,264
4th District,Echague East,269,265
4th District,Echague South,270,266
4th District,Echague West,271,267
2nd District,Gamu,272,268
Lone District,East Maasim,273,269
1st District,East,274,270
1st District,North,275,271
Lone District,South Glan,276,272
1st District,South,277,273
Lone District,North Glan,278,274
Lone District,Southwest Alabel,279,275
1st District,San Antonio,1587,276
1st District,West,281,277
1st District,Northwest,282,278
4th District,Jones East,283,279
4th District,Jones West,284,280
3rd District,Luna,2485,281
2nd District,Mallig,286,282
2nd District,Palanan,288,283
1st District,Palanan,288,284
4th District,Palanan,288,285
2nd District,Quezon,683,286
7th District,Naic I,290,287
3rd District,Carmen South,2009,288
2nd District,Quirino,292,289
1st District,Libungan West,293,290
2nd District,Makilala West,294,291
4th District,Ramon,295,292
2nd District,Malaybalay City District I,296,293
2nd District,Buenavista,764,294
Lone District,Sablayan North,298,295
3rd District,Reina Mercedes,299,296
2nd District,Reina Mercedes,299,297
2nd District,Malaybalay City District X,300,298
2nd District,Roxas East,301,299
2nd District,Roxas West,302,300
4th District,San Agustin,2049,301
3rd District,San Guillermo,304,302
2nd District,Malaybalay City District II,305,303
Lone District,San Jose Del Monte East,306,304
2nd District,Bauan,307,305
4th District,San Isidro,2469,306
1st District,Sta. Maria,1759,307
2nd District,San Manuel,504,308
2nd District,Lebak Central,311,309
2nd District,Kalamansig II,312,310
2nd District,San Mariano I,314,311
Lone District,Iligan City East I District,315,312
2nd District,San Mariano II,316,313
3rd District,San Mateo North,317,314
3rd District,San Mateo South,318,315
1st District,San Pablo,1708,316
4th District,Santiago North,320,317
4th District,Santiago East,321,318
4th District,Santiago South,322,319
4th District,Santiago West,323,320
1st District,Sto. Tomas,479,321
1st District,Tumauini North,325,322
1st District,Tumauini South,326,323
Lone District,Aritao East,327,324
Lone District,Aritao West,328,325
Lone District,Bagabag II,329,326
Lone District,Bagabag I,330,327
Lone District,Bambang I,331,328
Lone District,Bambang II,332,329
Lone District,Ambaguio,333,330
Lone District,Bayombong I,334,331
Lone District,Bayombong II,335,332
Lone District,Diadi,336,333
Lone District,Dupax del Norte II,337,334
Lone District,Dupax del Norte I,338,335
Lone District,Dupax del Sur,339,336
Lone District,Kasibu West,340,337
Lone District,Kasibu East,341,338
Lone District,Western Kayapa,342,339
Lone District,Eastern Kayapa,343,340
Lone District,Quezon,683,341
Lone District,Solano I,345,342
Lone District,Solano II,346,343
Lone District,Alfonso Castañeda,347,344
Lone District,Sta. Fe,1494,345
Lone District,Villaverde,349,346
Lone District,Aglipay,350,347
Lone District,Cabarroguis,351,348
Lone District,Diffun I,352,349
Lone District,Diffun II,353,350
Lone District,Maddela Zone II,354,351
Lone District,Maddela Zone I,355,352
Lone District,Nagtipunan,356,353
Lone District,Saguday,357,354
3rd District,Tuguegarao Northeast Educational Zone,358,355
3rd District,Tuguegarao East Educational Zone,359,356
3rd District,Tuguegarao North Educational Zone,360,357
Lone District,Baler,361,358
Lone District,Casiguran,1004,359
Lone District,Dilasag,363,360
Lone District,Dinalungan,364,361
Lone District,Dingalan,365,362
Lone District,Dipaculao,366,363
Lone District,Ma. Aurora,367,364
Lone District,San Luis,571,365
1st District,Abucay,369,366
2nd District,Bagac,370,367
2nd District,Balanga City West,371,368
2nd District,Balanga City East,372,369
1st District,Dinalupihan West,373,370
1st District,Dinalupihan East,374,371
1st District,Hermosa,375,372
2nd District,Limay,376,373
2nd District,Mariveles,377,374
1st District,Morong,714,375
1st District,Orani,379,376
2nd District,Orion,380,377
2nd District,Pilar,2472,378
1st District,Samal,1926,379
3rd District,Angat,383,380
3rd District,Dona Remedios Trinidad,384,381
2nd District,Balagtas,385,382
2nd District,Baliuag North,386,383
2nd District,Baliuag South,387,384
2nd District,Bocaue,388,385
1st District,Bulacan,389,386
1st District,Calumpit,390,387
2nd District,Guiguinto,391,388
1st District,Hagonoy East,392,389
1st District,Hagonoy West,393,390
1st District,North District,2453,391
1st District,South District,534,392
4th District,Marilao,396,393
4th District,Meycauayan East,397,394
4th District,Meycauayan West,398,395
3rd District,Norzagaray,399,396
1st District,Dona Remedios Trinidad,384,397
4th District,Obando,400,398
2nd District,Pandi,401,399
1st District,Paombong,402,400
2nd District,Plaridel,681,401
1st District,Pulilan,404,402
3rd District,San Ildefonso North,405,403
3rd District,San Ildefonso South,406,404
3rd District,San Miguel North,950,405
3rd District,San Miguel South,951,406
3rd District,San Rafael,1152,407
4th District,Sta. Maria,1759,408
1st District,Aliaga,411,409
3rd District,Bongabon,412,410
4th District,Cabiao,413,411
2nd District,Carranglan,414,412
3rd District,Gabaldon,415,413
4th District,Gapan North,416,414
4th District,Gapan South,417,415
3rd District,Gen. M. Natividad,418,416
4th District,Gen. Tinio,419,417
1st District,Guimba East,420,418
1st District,Guimba West,421,419
4th District,Jaen,422,420
3rd District,Laur,423,421
1st District,Licab,424,422
2nd District,Llanera,425,423
2nd District,Lupao,426,424
2nd District,Munoz,427,425
1st District,Nampicuan,428,426
3rd District,Palayan City,429,427
2nd District,Pantabangan,430,428
4th District,Penaranda,431,429
1st District,Quezon,683,430
4th District,San Antonio,1587,431
2nd District,San Jose City East,436,432
2nd District,San Jose City West,437,433
4th District,San Leonardo,438,434
3rd District,Sta. Rosa,439,435
1st District,Sto. Domingo,878,436
1st District,Talavera North,441,437
1st District,Talavera South,442,438
2nd District,Talugtug,443,439
1st District,Zaragoza,444,440
4th District,Apalit,445,441
3rd District,Arayat East,446,442
3rd District,Arayat West,447,443
3rd District,Bacolor South,448,444
1st District,Bacolor North,449,445
3rd District,Bacolor North,449,446
4th District,Candaba East,450,447
4th District,Candaba North,451,448
4th District,Candaba West,452,449
2nd District,Floridablanca East,453,450
2nd District,Floridablanca West,454,451
2nd District,Guagua East,455,452
2nd District,Guagua West,456,453
2nd District,Lubao East,457,454
2nd District,Lubao North,458,455
2nd District,Lubao West,459,456
1st District,Mabalacat North,460,457
1st District,Mabalacat East,461,458
1st District,Mabalacat South,462,459
4th District,Macabebe East,463,460
4th District,Macabebe West,464,461
1st District,Magalang South,465,462
1st District,Magalang North,466,463
4th District,Masantol South,467,464
4th District,Masantol North,468,465
3rd District,Mexico North,469,466
3rd District,Mexico West,470,467
3rd District,Mexico South,471,468
4th District,Minalin,472,469
2nd District,Porac West,473,470
4th District,San Luis,571,471
4th District,San Simon,475,472
2nd District,Sasmuan,476,473
3rd District,Sta. Ana,1960,474
2nd District,Sta. Rita,478,475
4th District,Sto. Tomas,479,476
1st District,Anao,480,477
3rd District,Bamban,481,478
1st District,Camiling Central,482,479
1st District,Camiling East,483,480
1st District,Camiling West,484,481
3rd District,Capas East,485,482
3rd District,Capas West,486,483
3rd District,Concepcion East,487,484
3rd District,Concepcion North,488,485
3rd District,Concepcion South,489,486
3rd District,Concepcion West,490,487
2nd District,Gerona North,491,488
2nd District,Gerona South,492,489
3rd District,La Paz North,493,490
3rd District,La Paz South,494,491
1st District,Mayantoc,495,492
1st District,Moncada North,496,493
1st District,Moncada South,497,494
1st District,Paniqui North,498,495
1st District,Paniqui South,499,496
1st District,Pura,500,497
1st District,Ramos,501,498
1st District,San Clemente,502,499
2nd District,San Jose,2246,500
1st District,San Manuel,504,501
1st District,Sta. Ignacia,505,502
2nd District,Tarlac Central District,506,503
2nd District,Tarlac East District,507,504
2nd District,Tarlac North District A,508,505
2nd District,Tarlac North District B,509,506
2nd District,Tarlac South District B,510,507
2nd District,Tarlac South District A,511,508
2nd District,Tarlac West District A,512,509
2nd District,Tarlac West District B,513,510
2nd District,Tarlac West District C,514,511
2nd District,Victoria East,515,512
2nd District,Victoria West,516,513
2nd District,Botolan North,517,514
2nd District,Cabangan,518,515
2nd District,Candelaria,519,516
1st District,Castillejos,520,517
2nd District,Iba,521,518
2nd District,Masinloc,522,519
2nd District,Palauig,523,520
2nd District,San Antonio,1587,521
2nd District,San Felipe,525,522
1st District,San Marcelino,526,523
2nd District,San Narciso,689,524
2nd District,Sta. Cruz North,1951,525
2nd District,Sta. Cruz South,1952,526
1st District,Subic,530,527
1st District,East District,2450,528
1st District,West District,2455,529
3rd District,Cabanatuan City East District,535,530
3rd District,Cabanatuan City North District,536,531
3rd District,Cabanatuan City South District,537,532
3rd District,Cabanatuan City West District,538,533
1st District,Olongapo City District I,539,534
1st District,Olongapo City District II,540,535
1st District,Olongapo City District III,541,536
1st District,Olongapo City District IV,542,537
Lone District,San Jose Del Monte West,543,538
3rd District,San Fernando East,544,539
3rd District,San Fernando North,545,540
3rd District,San Fernando West,546,541
3rd District,Agoncillo,547,542
3rd District,Alitagtag,548,543
1st District,Pagalungan,549,544
1st District,Balayan East,550,545
1st District,Balayan West,551,546
3rd District,Balete,1038,547
1st District,Calaca,553,548
1st District,Calatagan,554,549
3rd District,Cuenca,555,550
4th District,Ibaan,556,551
3rd District,Laurel,557,552
1st District,Lemery,1135,553
1st District,Lian,559,554
2nd District,Lobo,560,555
2nd District,Mabini,1908,556
3rd District,Malvar,562,557
3rd District,Mataas Na Kahoy,563,558
1st District,Nasugbu East,564,559
1st District,Nasugbu West,565,560
4th District,Padre Garcia,566,561
4th District,Rosario East,567,562
4th District,Rosario West,568,563
4th District,San Juan East,569,564
4th District,San Juan West,570,565
2nd District,San Luis,571,566
3rd District,San Nicolas,2566,567
3rd District,Sta. Teresita,573,568
3rd District,Sto. Tomas South,574,569
3rd District,Sto. Tomas North,575,570
1st District,Taal,576,571
3rd District,Talisay,892,572
3rd District,Tanauan City West I,578,573
3rd District,Tanauan City East II,579,574
3rd District,Tanauan City South II,580,575
3rd District,Tanauan City East III,581,576
3rd District,Tanauan City East I,582,577
3rd District,Tanauan City West II,583,578
3rd District,Tanauan City North III,584,579
3rd District,Tanauan City South I,585,580
3rd District,Tanauan City North I,586,581
3rd District,Tanauan City North II,587,582
4th District,Taysan,588,583
2nd District,Tingloy,589,584
1st District,Tuy,590,585
7th District,Alfonso,591,586
6th District,Amadeo,592,587
2nd District,Bacoor I,593,588
2nd District,Bacoor II,594,589
5th District,Carmona,595,590
4th District,Dasmariñas I,596,591
4th District,Dasmariñas II,597,592
7th District,General E. Aguinaldo,598,593
5th District,General Mariano Alvarez,599,594
6th District,General Trias I,600,595
6th District,General Trias II,601,596
3rd District,Imus I,602,597
Lone District,Mandaluyong City District II,603,598
3rd District,Imus II,604,599
7th District,Indang I,605,600
6th District,Trece Martirez City,606,601
7th District,Indang II,607,602
1st District,Kawit,608,603
7th District,Magallanes,2149,604
7th District,Maragondon,610,605
7th District,Mendez,611,606
7th District,Naic II,612,607
1st District,Noveleta,613,608
1st District,Rosario,1586,609
1st District,Bacon West,615,610
5th District,Silang II,616,611
7th District,Tagaytay City,617,612
6th District,Tanza,618,613
7th District,Ternate,619,614
2nd District,Malabog,620,615
3rd District,Alaminos,621,616
2nd District,Bay,622,617
1st District,Binan,623,618
2nd District,District IV,1785,619
2nd District,District III,2545,620
2nd District,District V,1783,621
3rd District,Calauan,629,622
4th District,Cavinti,630,623
4th District,Famy-Mabitac,631,624
3rd District,Liliw,632,625
2nd District,Los Baños,633,626
4th District,Luisiana,634,627
4th District,Lumban-Kalayaan,635,628
4th District,Magdalena,636,629
4th District,Majayjay,637,630
3rd District,Nagcarlan-Rizal,638,631
1st District,Nagcarlan-Rizal,638,632
4th District,Paete,639,633
4th District,Pangil-Pakil,640,634
3rd District,Marilog,641,635
4th District,Pila,642,636
1st District,San Pedro,643,637
4th District,Santa Cruz,644,638
4th District,Santa Maria,645,639
1st District,City of Sta. Rosa District II,646,640
1st District,City of Sta. Rosa District III,647,641
1st District,City of Sta. Rosa District I,648,642
4th District,Siniloan,649,643
3rd District,Victoria,1593,644
4th District,Alabat,651,645
4th District,Atimonan,652,646
3rd District,Buenavista,764,647
1st District,Burdeos,654,648
1st District,Panukulan,655,649
4th District,Calauag East,656,650
4th District,Calauag West,657,651
2nd District,Candelaria East,658,652
2nd District,Candelaria West,659,653
3rd District,Catanauan,660,654
2nd District,Dolores,2460,655
3rd District,Gen. Luna,662,656
1st District,Gen. Nakar,663,657
4th District,Guinayangan,664,658
4th District,Gumaca East,665,659
4th District,Gumaca West,666,660
4th District,Lopez East,668,661
4th District,Lopez West,669,662
1st District,Lucban,670,663
3rd District,Macalelon,671,664
1st District,Mauban North,672,665
1st District,Mauban South,673,666
3rd District,Mulanay,674,667
1st District,Kapalong West,675,668
3rd District,Padre Burgos-Agdangan,676,669
1st District,Pagbilao,677,670
1st District,Patnanungan-Jomalig,678,671
4th District,Perez,679,672
3rd District,Pitogo,1705,673
4th District,Plaridel,681,674
1st District,Polillo,682,675
4th District,Quezon,683,676
1st District,Real,684,677
1st District,Sampaloc,685,678
3rd District,San Andres,2580,679
3rd District,San Francisco,1512,680
3rd District,San Narciso,689,681
2nd District,Sariaya East,690,682
2nd District,Sariaya West,691,683
4th District,Tagkawayan,692,684
1st District,Tayabas East,693,685
1st District,Tayabas West,694,686
2nd District,Tiaong,695,687
3rd District,Unisan,696,688
1st District,Angono,697,689
1st District,Binangonan III,698,690
1st District,District I-B,699,691
2nd District,District II-D,700,692
2nd District,District II-B,701,693
1st District,District I-C,702,694
2nd District,District II-C,703,695
2nd District,District II-A,704,696
1st District,District I-A,705,697
2nd District,Teresa,706,698
1st District,Binangonan I,707,699
1st District,Binangonan II,708,700
1st District,Cainta I (Cainta),709,701
1st District,Cainta II,710,702
Lone District,Jose Abad Santos,711,703
2nd District,Cardona,712,704
2nd District,Baras,713,705
2nd District,Morong,714,706
1st District,Baganga North,716,707
1st District,Caraga South,717,708
1st District,Linapacan,718,709
2nd District,Jalajala,719,710
2nd District,Pililla,720,711
2nd District,Rodriguez II,721,712
2nd District,Rodriguez I (Rodriguez),722,713
2nd District,San Mateo,723,714
1st District,Coron Inland,724,715
2nd District,Tanay II,725,716
2nd District,Tanay I,726,717
1st District,Taytay I,787,718
1st District,Taytay II,785,719
2nd District,Batangas City East District,729,720
2nd District,Batangas City New District,730,721
2nd District,Batangas City North District,731,722
Lone District,Cajidiocan-Magdiwang,732,723
2nd District,Batangas City Coastal District,733,724
2nd District,Batangas City Verde Island District,734,725
2nd District,Batangas City West District,735,726
2nd District,Batangas City South District,736,727
Lone District,Pidigan,737,728
4th District,Batangas City South District,736,729
1st District,Cavite City I District,738,730
1st District,Cavite City II District,739,731
1st District,Cavite City III District,740,732
4th District,Lipa City East District,741,733
4th District,Lipa City North Disrict,742,734
4th District,Lipa City South District,743,735
2nd District,Bataraza District II,744,736
4th District,Lipa City West District,745,737
2nd District,Lucena East District,746,738
2nd District,Lucena North District,747,739
2nd District,Lucena South District,748,740
2nd District,Lucena West District,749,741
3rd District,Ambray,750,742
Lone District,Sallapadan,751,743
3rd District,Dapdapan,752,744
3rd District,Del Remedio,753,745
3rd District,Fule Almeda,754,746
3rd District,Lakeside,755,747
3rd District,Sto. Angel,757,748
Lone District,Rizal,2520,749
2nd District,Calamba City East I,759,750
2nd District,Calamba City East II,760,751
2nd District,Calamba City West,761,752
Lone District,Boac North,762,753
Lone District,Boac South,763,754
Lone District,Buenavista,764,755
Lone District,Gasan,765,756
Lone District,Mogpog,766,757
Lone District,Santa Cruz East,767,758
