municipality,province,province_id,municipality_id
SAN CARLOS CITY,PANGASINAN,1,1
BACARRA,ILOCOS NORTE,2,2
BADOC,ILOCOS NORTE,2,3
BANGUI,ILOCOS NORTE,2,4
DUMALNEG,ILOCOS NORTE,2,5
BANNA (ESPIRITU),ILOCOS NORTE,2,6
CITY OF BATAC,ILOCOS NORTE,2,7
BURGOS,ILOCOS NORTE,2,8
CURRIMAO,ILOCOS NORTE,2,9
DINGRAS,ILOCOS NORTE,2,10
NUEVA ERA,ILOCOS NORTE,2,11
MARCOS,ILOCOS NORTE,2,12
ADAMS,ILOCOS NORTE,2,13
PAGUDPUD,ILOCOS NORTE,2,14
PAOAY,ILOCOS NORTE,2,15
LEGAZPI CITY  (Capital),ALBAY,3,16
PASUQUIN,ILOCOS NORTE,2,17
PIDDIG,ILOCOS NORTE,2,18
CARASI,ILOCOS NORTE,2,19
PINILI,ILOCOS NORTE,2,20
SAN NICOLAS,ILOCOS NORTE,2,21
SARRAT,ILOCOS NORTE,2,22
SOLSONA,ILOCOS NORTE,2,23
VINTAR,ILOCOS NORTE,2,24
POLOMOLOK,SOUTH COTABATO,4,25
ALILEM,ILOCOS SUR,5,26
SUGPON,ILOCOS SUR,5,27
BANAYOYO,ILOCOS SUR,5,28
LIDLIDDA,ILOCOS SUR,5,29
SAN EMILIO,ILOCOS SUR,5,30
BANTAY,ILOCOS SUR,5,31
SAN ESTEBAN,ILOCOS SUR,5,32
BURGOS,ILOCOS SUR,5,33
CABUGAO,ILOCOS SUR,5,34
CITY OF CANDON,ILOCOS SUR,5,35
CAOAYAN,ILOCOS SUR,5,36
CERVANTES,ILOCOS SUR,5,37
QUIRINO (ANGKAKI),ILOCOS SUR,5,38
MAGSINGAL,ILOCOS SUR,5,39
NARVACAN,ILOCOS SUR,5,40
NAGBUKEL,ILOCOS SUR,5,41
SIGAY,ILOCOS SUR,5,42
GREGORIO DEL PILAR (CONCEPCION),ILOCOS SUR,5,43
SALCEDO (BAUGEN),ILOCOS SUR,5,44
GALIMUYOD,ILOCOS SUR,5,45
SAN JUAN (LAPOG),ILOCOS SUR,5,46
SAN VICENTE,ILOCOS SUR,5,47
LAKE SEBU,SOUTH COTABATO,4,48
SANTA,ILOCOS SUR,5,49
SANTIAGO,ILOCOS SUR,5,50
SINAIT,ILOCOS SUR,5,51
SANTA CATALINA,ILOCOS SUR,5,52
SANTA CRUZ,ILOCOS SUR,5,53
SANTA LUCIA,ILOCOS SUR,5,54
SANTA MARIA,ILOCOS SUR,5,55
SANTO DOMINGO,ILOCOS SUR,5,56
SAN ILDEFONSO,ILOCOS SUR,5,57
SUYO,ILOCOS SUR,5,58
TAGUDIN,ILOCOS SUR,5,59
CITY OF VIGAN (Capital),ILOCOS SUR,5,60
