region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,k_male,k_female,g1_male,g2_male,g3_male,g4_male,g5_male,g6_male,g1_female,g2_female,g3_female,g4_female,g5_female,g6_female,elem_ng_male,elem_ng_female,g7_male,g8_male,g9_male,g10_male,g7_female,g8_female,g9_female,g10_female,jhs_ng_male,jhs_ng_female,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region I,Ilocos Norte,Badoc,400003,"IGAMA Colleges Foundation, Inc.","Brgy. Garreta, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Private,Non-Sectarian ,School with no Annexes,All Offering,6,8,5,1,7,3,8,5,6,7,5,3,10,4,0,0,14,34,25,32,13,26,27,31,0,0,1,1,2,6,16,16,0,0,0,0,3,2,0,0,0,0,0,6,18,4,12,16,0,0,0,0,14,3,0,0,0,0,0,206,194,400
Region I,Ilocos Norte,Badoc,500000,Caraitan Integrated School,"Caraitan, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,CARAITAN,Public,DepED Managed,School with no Annexes,All Offering,20,17,20,21,15,18,24,21,9,17,16,16,16,19,0,0,41,53,61,49,44,53,43,56,0,0,0,0,21,14,11,12,30,22,0,0,0,0,0,0,0,0,0,0,19,8,2,9,22,8,0,0,0,0,0,0,0,0,0,448,379,827
Region I,Ilocos Norte,Marcos-Nueva Era,500594,Uguis Integrated School,"Brgy. 9 Nueva Era, Ilocos Norte",ILOCOS NORTE,NUEVA ERA,2nd District,UGUIS,Public,DepED Managed,School with no Annexes,All Offering,10,8,12,14,8,4,16,16,6,6,11,9,13,14,0,0,16,19,19,11,20,15,20,15,0,0,0,0,0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,179,161,340
Region I,Ilocos Norte,Paoay,500345,Malaguip Integrated School,"Masintoc, Paoay, Ilocos Norte",ILOCOS NORTE,PAOAY,2nd District,MASINTOC,Public,DepED Managed,School with no Annexes,All Offering,15,19,32,13,22,18,32,23,18,27,20,18,32,27,0,0,24,25,22,26,14,20,27,19,0,0,0,0,0,0,0,0,11,14,0,0,13,3,0,0,0,0,0,0,0,0,0,0,7,26,0,0,20,0,0,0,0,0,0,303,284,587
Region I,Ilocos Norte,Pasuquin,400018,"St. James Academy of PasuquinIlocos Norte, Inc.","#2 Maharlika Hiway Poblacion, Pasuquin",ILOCOS NORTE,PASUQUIN,1st District,POBLACION 2,Private,Sectarian ,School with no Annexes,All Offering,4,2,12,10,11,8,7,18,10,4,10,6,7,8,0,0,7,16,14,20,19,15,16,19,0,0,0,3,7,3,0,0,0,0,0,0,1,2,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,143,132,275
Region I,Ilocos Norte,Pinili,500593,Sacritan Integrated School,"Brgy. Balbalay, Sacritan, Pinili Ilocos Norte",ILOCOS NORTE,PINILI,2nd District,SACRITAN,Public,DepED Managed,School with no Annexes,All Offering,5,6,12,6,10,7,19,14,8,14,16,4,16,15,0,0,10,16,18,15,22,10,28,10,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,167,173,340
Region I,Ilocos Norte,San Nicolas,400022,"Sta. Rosa Academy of San Nicolas Ilocos Norte, Inc.","National Road Brgy.3 San Ildefonso San Nicolas,Ilocos Norte",ILOCOS NORTE,SAN NICOLAS,2nd District,SAN ILDEFONSO (POB.),Private,Sectarian ,School with no Annexes,All Offering,1,0,1,0,4,2,5,6,1,4,4,2,7,4,0,0,7,11,9,4,5,11,5,11,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,68,66,134
Region I,Ilocos Norte,Sarrat,500592,Pandan Integrated School,San Juan,ILOCOS NORTE,SARRAT,1st District,SAN JUAN,Public,DepED Managed,School with no Annexes,All Offering,10,6,15,10,12,12,14,8,12,4,11,7,7,11,0,0,9,23,15,22,11,7,9,14,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,179,128,307
Region I,Ilocos Norte,Vintar I,500343,Pallas Integrated School,Bulbulala,ILOCOS NORTE,VINTAR,1st District,BULBULALA,Public,DepED Managed,School with no Annexes,All Offering,10,10,11,17,13,16,18,21,5,9,14,5,15,13,0,0,24,35,37,51,33,23,36,30,0,0,0,0,6,14,0,0,0,0,0,0,22,4,0,0,0,0,0,0,17,14,0,0,0,0,0,0,12,4,0,0,0,0,0,310,229,539
Region I,Ilocos Norte,Vintar II,500344,SALPAD INTEGRATED SCHOOL,Brgy.17 P.F. Alviar Vintar,ILOCOS NORTE,VINTAR,1st District,PEDRO F. ALVIAR (DIATON),Public,DepED Managed,School with no Annexes,All Offering,8,11,4,3,7,10,4,6,6,8,4,6,8,7,0,0,12,24,17,25,10,16,12,21,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,152,122,274
