Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,G1 Male,G2 Male,G3 Male,G4 Male,G5 Male,G6 Male,G1 Female,G2 Female,G3 Female,G4 Female,G5 Female,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G8 Male,G9 Male,G10 Male,G7 Female,G8 Female,G9 Female,G10 Female,JHS NG Male,JHS NG Female,Total Non-Graded Enrollment,Total Male Enrollment,Total Female Enrollment,Total Enrollment
Region I,Ilocos Norte,Dingras I,400011,"Dingras Faith Academy, Inc.","Root Street, Madamba, Dingras, Ilocos Norte",ILOCOS NORTE,DINGRAS,2nd District,MADAMBA (POB.),Private,Non-Sectarian ,School with no Annexes,ES and JHS,19,13,10,7,8,15,10,7,17,3,17,11,0,0,12,8,14,19,10,12,8,4,0,0,0,143,121,264
Region I,Ilocos Norte,Marcos-Nueva Era,502582,Garnaden Integrated School,Garnaden,ILOCOS NORTE,NUEVA ERA,2nd District,GARNADEN,Public,DepED Managed,School with no Annexes,ES and JHS,7,8,4,1,7,3,3,7,3,2,12,11,0,0,24,0,0,0,17,0,0,0,0,0,0,59,63,122
Region I,Ilocos Norte,Adams-Pagudpud,502581,Balaoi Integrated School,"Brgy. Balaoi, Pagudpud, Ilocos Norte",ILOCOS NORTE,PAGUDPUD,1st District,BALAOI,Public,DepED Managed,School with no Annexes,ES and JHS,4,4,2,3,3,4,2,4,9,0,7,5,0,0,12,0,0,0,12,0,0,0,0,0,0,35,41,76
Region I,Ilocos Sur,Bantay,502102,Bantay West Integrated School,National Highway,ILOCOS SUR,BANTAY,1st District,BARANGAY 5 (POB.),Public,DepED Managed,School with no Annexes,ES and JHS,20,28,22,19,17,24,18,17,20,15,23,23,17,5,11,19,12,6,10,6,9,5,0,0,22,214,166,380
Region I,Ilocos Sur,Cabugao,502497,Cabugao Integrated School,none,ILOCOS SUR,CABUGAO,1st District,BONIFACIO (POB.),Public,DepED Managed,School with no Annexes,ES and JHS,36,30,39,29,49,43,26,35,39,25,36,40,11,8,28,0,0,0,22,0,0,0,0,0,19,300,252,552
Region I,Ilocos Sur,Cervantes-Quirino,501744,Patungcaleo Integrated School,-n/a,ILOCOS SUR,QUIRINO (ANGKAKI),2nd District,PATUNGCALEO (LAMAG),Public,DepED Managed,School with no Annexes,ES and JHS,8,18,19,9,17,11,6,15,10,11,13,18,0,0,17,10,15,31,17,9,11,19,0,0,0,168,136,304
Region I,Ilocos Sur,Cervantes-Quirino,502104,Daing Integrated School,-n/a,ILOCOS SUR,CERVANTES,2nd District,REMEDIOS,Public,DepED Managed,School with no Annexes,ES and JHS,17,7,10,17,8,10,6,12,8,6,8,14,0,0,20,12,13,8,5,12,16,11,0,0,0,126,101,227
Region I,Ilocos Sur,Magsingal,502318,Patong Integrated School,PATONG,ILOCOS SUR,MAGSINGAL,1st District,PATONG,Public,DepED Managed,School with no Annexes,ES and JHS,19,15,17,12,19,8,12,8,20,13,16,25,0,0,9,14,0,0,9,13,0,0,0,0,0,126,127,253
Region I,Ilocos Sur,Narvacan South-Nagbukel,501026,Bantugo-Mission Integrated School,-,ILOCOS SUR,NAGBUKEL,2nd District,BANTUGO,Public,DepED Managed,School with no Annexes,ES and JHS,11,8,22,14,26,14,10,11,20,14,24,9,0,0,11,12,18,14,8,14,9,12,0,0,0,164,145,309
Region I,Ilocos Sur,Salcedo-Galimuyod-Sigay-Del Pilar,501745,Galimuyod Integrated School,"Calongbuyan,Galimuyod , Ilocos Sur",ILOCOS SUR,GALIMUYOD,2nd District,CALONGBUYAN,Public,DepED Managed,School with no Annexes,ES and JHS,16,22,34,19,32,26,15,22,28,19,30,26,0,0,18,30,24,31,19,20,20,15,0,0,0,262,229,491
Region I,Ilocos Sur,Salcedo-Galimuyod-Sigay-Del Pilar,502100,Boguibog Integrated School,na,ILOCOS SUR,SALCEDO (BAUGEN),2nd District,BOGUIBOG,Public,DepED Managed,School with no Annexes,ES and JHS,8,4,6,5,7,7,4,4,5,8,6,5,0,0,2,6,7,0,9,3,6,0,0,0,0,56,54,110
Region I,Ilocos Sur,Salcedo-Galimuyod-Sigay-Del Pilar,502498,Pias Integrated School,n / a,ILOCOS SUR,SALCEDO (BAUGEN),2nd District,PIAS,Public,DepED Managed,School with no Annexes,ES and JHS,5,4,7,6,11,10,4,4,10,3,6,5,0,0,6,0,0,0,6,0,0,0,0,0,0,52,46,98
Region I,Ilocos Sur,San Vicente,410518,"Jenefa Scholastica, Inc.",National Road,ILOCOS SUR,SAN VICENTE,1st District,BAYUBAY SUR,Private,Sectarian ,School with no Annexes,ES and JHS,30,26,32,17,23,25,28,17,19,13,32,12,0,0,11,17,14,10,7,6,10,9,0,0,0,234,176,410
Region I,Ilocos Sur,Santiago,502101,Dan-ar Integrated School,-n/a,ILOCOS SUR,SANTIAGO,2nd District,DAN-AR,Public,DepED Managed,School with no Annexes,ES and JHS,17,19,26,17,36,27,16,15,32,25,20,22,0,0,18,29,18,0,6,26,16,0,0,0,0,223,192,415
Region I,Ilocos Sur,Sta. Catalina,502103,Pangada-Cabaroan Integrated School,"Pangada, Sta. Catalina, Ilocos Sur",ILOCOS SUR,SANTA CATALINA,1st District,PANGADA,Public,DepED Managed,School with no Annexes,ES and JHS,22,8,13,17,15,10,11,13,13,8,14,9,0,0,26,21,15,8,15,15,14,3,0,0,0,165,125,290
Region I,Ilocos Sur,Sta. Lucia,502099,Paoc Integrated School,-,ILOCOS SUR,SANTA LUCIA,2nd District,PAOC NORTE,Public,DepED Managed,School with no Annexes,ES and JHS,16,16,17,7,19,16,12,11,17,14,7,15,0,0,14,9,17,0,10,15,14,0,0,0,0,141,128,269
Region I,Ilocos Sur,Sta. Maria,502542,Silag-Pacang Integrated School,Pacang,ILOCOS SUR,SANTA MARIA,2nd District,PACANG,Public,DepED Managed,School with no Annexes,ES and JHS,11,23,21,15,24,22,11,13,13,19,22,19,0,0,14,0,0,0,5,0,0,0,0,0,0,143,114,257
Region I,Ilocos Sur,Sto. Domingo-San Ildefonso,502098,Sto. Domingo Integrated School,"Maharlika Highway, Poblacion, Sto. Domingo",ILOCOS SUR,SANTO DOMINGO,1st District,POBLACION,Public,DepED Managed,School with no Annexes,ES and JHS,18,21,24,16,33,25,12,18,20,17,32,24,0,0,22,23,30,0,17,18,24,0,0,0,0,238,194,432
Region I,Ilocos Sur,Suyo,501746,Butac Integrated School,Butac,ILOCOS SUR,SUYO,2nd District,MAN-ATONG,Public,DepED Managed,School with no Annexes,ES and JHS,3,2,3,5,6,5,5,4,5,4,7,8,0,0,14,14,16,13,7,12,7,6,0,0,0,87,67,154
Region I,Ilocos Sur,Tagudin,410523,Christ Servant Academy of Tagudin Inc.,National Highway,ILOCOS SUR,TAGUDIN,2nd District,DEL PILAR (POB.),Private,Sectarian ,School with no Annexes,ES and JHS,6,8,7,5,7,4,3,8,9,1,5,5,0,0,3,7,1,8,3,5,1,2,0,0,0,67,49,116
Region I,La Union,Agoo West,502074,Cubal Integrated School,NATIONAL HIGHWAY,LA UNION,AGOO,2nd District,SAN PEDRO,Public,DepED Managed,School with no Annexes,ES and JHS,41,50,43,50,43,45,39,46,42,46,48,51,0,0,31,35,39,0,12,26,21,0,0,0,0,420,356,776
Region I,La Union,Aringay,500470,San Simon ES,san simon east,LA UNION,ARINGAY,2nd District,SAN SIMON EAST,Public,DepED Managed,School with no Annexes,ES and JHS,18,14,26,16,13,24,17,16,10,20,22,15,0,0,18,17,25,15,13,15,14,19,0,0,0,194,176,370
Region I,La Union,Aringay,501197,Dulao Integrated School,-,LA UNION,ARINGAY,2nd District,DULAO,Public,DepED Managed,School with no Annexes,ES and JHS,18,21,44,24,39,50,31,28,35,31,29,50,0,0,33,29,32,37,21,24,36,25,0,0,0,352,336,688
Region I,La Union,Bacnotan,411050,St. Michael Archangel Learning Center,Raois,LA UNION,BACNOTAN,1st District,RAOIS,Private,Sectarian ,School with no Annexes,ES and JHS,13,8,12,5,14,10,12,8,13,13,16,7,0,0,5,8,9,4,4,3,7,1,0,0,0,93,97,190
Region I,La Union,Bacnotan,502572,Zaragosa Integrated School,-,LA UNION,BACNOTAN,1st District,ZARAGOSA,Public,DepED Managed,School with no Annexes,ES and JHS,20,17,22,18,20,23,10,18,22,13,20,28,0,0,12,0,0,0,22,0,0,0,0,0,0,151,144,295
Region I,La Union,Bacnotan,502579,Quirino Integrated School,"Galongen, Bacnotan, La Union",LA UNION,BACNOTAN,1st District,QUIRINO,Public,DepED Managed,School with no Annexes,ES and JHS,12,6,15,8,12,14,12,11,16,12,10,11,0,0,10,0,0,0,11,0,0,0,0,0,0,91,92,183
Region I,La Union,Bangar,411032,Philippine Bethel Blessed Christian Academy,Consuegra,LA UNION,BANGAR,1st District,CONSUEGRA,Private,Non-Sectarian ,School with no Annexes,ES and JHS,3,1,0,0,3,1,1,2,1,3,0,2,0,0,0,0,5,3,1,3,2,1,0,0,0,19,17,36
Region I,La Union,Bangar,500797,Luzong Sur Integrated School,NIA road,LA UNION,BANGAR,1st District,LUZONG SUR,Public,DepED Managed,School with no Annexes,ES and JHS,9,17,20,16,18,17,8,8,14,10,18,13,0,0,23,23,13,20,20,17,16,7,0,0,0,187,143,330
Region I,La Union,Bangar,502578,Paratong Integrated School,NATIONAL RD.,LA UNION,BANGAR,1st District,PARATONG NO. 3,Public,DepED Managed,School with no Annexes,ES and JHS,27,34,37,32,48,41,24,30,24,27,29,26,0,0,15,0,0,0,6,0,0,0,0,0,0,258,189,447
Region I,La Union,Bauang South,501196,Parian Este Integrated School,Parian Este,LA UNION,BAUANG,2nd District,PARIAN ESTE,Public,DepED Managed,School with no Annexes,ES and JHS,14,15,22,19,17,20,22,17,24,17,21,18,0,0,13,18,11,16,10,15,17,12,0,0,0,179,187,366
Region I,La Union,Bauang South,502580,Bucayab Integrated School,none,LA UNION,BAUANG,2nd District,BUCAYAB,Public,DepED Managed,School with no Annexes,ES and JHS,7,14,9,9,14,13,10,4,8,11,20,16,0,0,12,0,0,0,11,0,0,0,0,0,0,87,89,176
