region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g7_male,g8_male,g9_male,g10_male,g7_female,g8_female,g9_female,g10_female,jhs_ng_male,jhs_ng_female,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region I,Ilocos Norte,Bacarra I,300002,Bacarra NCHS,"Torcuato Ver Street, Brgy. 1 Sta. Rita, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,184,238,226,261,168,197,229,279,8,5,23,75,98,104,27,48,0,0,0,0,153,44,0,0,0,0,31,63,81,98,27,52,0,0,0,0,165,51,0,0,0,0,13,1522,1413,2935
Region I,Ilocos Norte,Bacarra I,300007,Cadaratan National High School,"#30, Cadaratan, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,CADARATAN,Public,DepED Managed,School with no Annexes,JHS with SHS,54,33,55,53,45,51,47,67,0,0,0,0,17,20,0,0,31,14,0,0,0,0,0,0,0,0,0,0,21,15,0,0,25,22,0,0,0,0,0,0,0,0,0,289,281,570
Region I,Ilocos Norte,Bacarra I,400001,"St. Andrew Academy of Bacarra, Inc.","Brgy. 1, Sta. Rita, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,7,7,5,6,2,3,5,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,38,18,56
Region I,Ilocos Norte,Badoc,300021,Nagrebcan NHS,"Alay, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,ALAY-NANGBABAAN (ALAY 15-B),Public,DepED Managed,School with no Annexes,JHS with SHS,37,42,45,31,27,35,27,26,0,0,0,0,0,0,0,0,24,21,0,0,21,9,0,0,0,0,0,0,0,0,0,0,12,10,0,0,17,11,0,0,0,0,0,229,166,395
Region I,Ilocos Norte,Badoc,300023,Pagsanahan NHS,5-A Pagsanahan,ILOCOS NORTE,BADOC,2nd District,PAGSANAHAN NORTE,Public,DepED Managed,School with no Annexes,JHS with SHS,36,41,46,39,30,31,35,40,0,0,0,0,12,13,0,0,0,0,0,0,28,9,0,0,0,0,0,0,17,13,0,0,0,0,0,0,31,15,0,0,0,0,0,250,186,436
Region I,Ilocos Norte,Badoc,400002,"Badoc Junior College, Inc.","Juan Luna Street, Bgy. Canaan (Pob.), Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,CANAAN (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,10,16,25,30,11,17,22,15,0,0,16,8,0,0,0,0,0,0,0,0,19,13,0,0,0,0,10,3,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,152,95,247
Region I,Ilocos Norte,Badoc,400004,"Juan Luna Memorial Academy, Inc.","cor. Parson and Osmena Sts., Brgy. Alogoog, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,ALOGOOG,Private,Non-Sectarian ,School with no Annexes,JHS with SHS,45,40,46,48,51,50,42,49,0,0,0,0,0,0,16,26,22,18,0,0,0,0,0,0,0,0,0,0,0,0,18,16,38,14,0,0,0,0,0,0,0,0,0,273,266,539
Region I,Ilocos Norte,Bangui,300003,Bangui NHS,Alfredo Garvida St.,ILOCOS NORTE,BANGUI,1st District,SAN LORENZO (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,85,65,70,106,74,92,89,105,0,0,0,0,0,0,33,45,31,36,0,0,34,7,0,0,0,0,0,0,0,0,29,43,35,32,0,0,36,24,0,0,0,0,0,524,547,1071
Region I,Ilocos Norte,Bangui,300017,Dumalneg NHS,Purok Regta,ILOCOS NORTE,DUMALNEG,1st District,QUIBEL (DUMALNEG),Public,DepED Managed,School with no Annexes,JHS with SHS,20,20,19,33,18,18,30,34,0,0,0,0,9,13,0,0,0,0,0,0,16,17,0,0,0,0,0,0,8,21,0,0,0,0,0,0,14,8,0,0,0,0,0,139,159,298
Region I,Ilocos Norte,Bangui,320801,BANBAN NHS,-,ILOCOS NORTE,BANGUI,1st District,BANBAN,Public,DepED Managed,School with no Annexes,JHS with SHS,38,51,42,60,34,44,43,44,0,0,0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,9,17,0,0,0,0,0,0,0,0,0,272,247,519
