Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,G7 Male,G8 Male,G9 Male,G10 Male,G7 Female,G8 Female,G9 Female,G10 Female,JHS NG Male,JHS NG Female,Total Non-Graded Enrollment,Total Male Enrollment,Total Female Enrollment,Total Enrollment
Region I,Ilocos Norte,Vintar I,400026,"Vintar Academy, Inc.","4 Gomez St., Brgy. San Nicolas, Vintar, Ilocos Norte",ILOCOS NORTE,VINTAR,1st District,SAN NICOLAS (POB.),Private,Non-Sectarian ,School with no Annexes,Purely JHS,4,7,18,17,3,13,11,15,0,0,0,46,42,88
Region I,Ilocos Sur,Magsingal,400036,The Magsingal Institute of Secondary Education Incorporated,"Maharlika Highway, San Lucas, Magsingal, Ilocos Sur",ILOCOS SUR,MAGSINGAL,1st District,SAN LUCAS (POB.),Private,Non-Sectarian ,School with no Annexes,Purely JHS,44,56,45,74,54,64,42,56,0,0,0,219,216,435
Region I,Ilocos Sur,San Juan,400043,"San Juan Institute, Ilocos Sur, Inc.",#59 Aguinaldo,ILOCOS SUR,SAN JUAN (LAPOG),1st District,LIRA (POB.),Private,Non-Sectarian ,School with no Annexes,Purely JHS,39,43,36,39,34,33,41,48,0,0,0,157,156,313
Region I,La Union,Bauang North,300098,Ballay National High School,Ballay,LA UNION,BAUANG,2nd District,BALLAY,Public,DepED Managed,School with no Annexes,Purely JHS,14,11,18,23,8,13,13,15,0,0,0,66,49,115
Region I,La Union,San Gabriel,400121,St. Gabriel The Archangel High School Inc.,Apusen St.,LA UNION,SAN GABRIEL,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely JHS,52,50,58,55,41,73,49,71,0,0,0,215,234,449
Region I,La Union,San Juan,300147,San Juan National High School,Sta. Rosa de Lima St.,LA UNION,SAN JUAN,1st District,ILI SUR (POB.),Public,DepED Managed,Mother school,Purely JHS,101,106,105,126,89,80,116,103,0,0,0,438,388,826
Region I,La Union,Tubao,321011,Halog West National High School,Centro 1,LA UNION,TUBAO,2nd District,HALOG WEST,Public,DepED Managed,Annex or Extension school(s),Purely JHS,17,20,15,22,14,13,23,18,0,0,0,74,68,142
Region I,"Pangasinan I, Lingayen",Mapandan,400180,Mapandan Academy,16B Firetree St.,PANGASINAN,MAPANDAN,3rd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely JHS,5,14,11,16,5,13,15,10,0,0,0,46,43,89
Region I,"Pangasinan II, Binalonan",San Quintin,400235,"San Quintin High School Educational Foundation, Inc.",Rizal St.,PANGASINAN,SAN QUINTIN,6th District,POBLACION ZONE I,Private,Sectarian ,School with no Annexes,Purely JHS,51,52,45,63,35,46,62,62,0,0,0,211,205,416
Region I,Dagupan City,Dagupan City District I,400260,F. Q. Duque Med. Foundation Special Science HS,Tapuac District,PANGASINAN,DAGUPAN CITY,4th District,TAPUAC,Private,Non-Sectarian ,School with no Annexes,Purely JHS,18,10,8,12,12,14,16,15,0,0,0,48,57,105
Region I,Dagupan City,Dagupan City District I,400266,LYCEUM-NORTHWESTERN UNIVERSITY GENERAL HIGH SCHOOL,Tapuac District,PANGASINAN,DAGUPAN CITY,4th District,POBLACION OESTE,Private,Non-Sectarian ,School with no Annexes,Purely JHS,6,9,5,18,8,2,6,11,0,0,0,38,27,65
Region I,San Carlos City,San Carlos City District I,400308,VMUF-San Luis High School,Talang,PANGASINAN,SAN CARLOS CITY,3rd District,TALANG,Private,Non-Sectarian ,School with no Annexes,Purely JHS,10,16,12,20,11,12,7,13,0,0,0,58,43,101
Region I,San Carlos City,San Carlos City District I,400310,VMUF - St. Dominic High School,Martin Posadas Avenue,PANGASINAN,SAN CARLOS CITY,3rd District,SAN PEDRO-TALOY,Private,Non-Sectarian ,School with no Annexes,Purely JHS,13,12,17,15,16,12,20,17,0,0,0,57,65,122
Region I,San Carlos City,San Carlos City District I,400312,Virgen Milagrosa Special Science High School,Martin P. Posadas Avenue,PANGASINAN,SAN CARLOS CITY,3rd District,SAN PEDRO-TALOY,Private,Non-Sectarian ,School with no Annexes,Purely JHS,38,43,48,30,59,58,52,37,0,0,0,159,206,365
Region I,San Fernando City,San Fernando I,324103,SAN FERNANDO CITY NATIONAL VOCATIONAL HIGH SCHOOL,"TANQUI, SAN FERNANCO CITY (LU)",LA UNION,CITY OF SAN FERNANDO (Capital),1st District,TANQUI,Public,DepED Managed,School with no Annexes,Purely JHS,51,60,53,40,40,46,49,41,0,0,0,204,176,380
Region I,Batac City,Batac I,320804,City of Batac NHS Poblacion,National Road,ILOCOS NORTE,CITY OF BATAC,2nd District,TABUG,Public,DepED Managed,School with no Annexes,Purely JHS,123,196,211,204,132,189,197,180,21,14,35,755,712,1467
Region I,Batac City,Batac I,400009,Eureka High School,"Eureka Avenue,",ILOCOS NORTE,CITY OF BATAC,2nd District,CAUNAYAN (POB.),Private,Non-Sectarian ,School with no Annexes,Purely JHS,1,6,4,8,1,1,1,4,0,0,0,19,7,26
Region I,Batac City,Batac II,305491,City of Batac NHS Rayuray,"Brgy. Rayuray, City of Batac, Ilocos Norte",ILOCOS NORTE,CITY OF BATAC,2nd District,RAYURAY,Public,DepED Managed,School with no Annexes,Purely JHS,13,21,34,30,18,12,21,17,0,0,0,98,68,166
Region II,Cagayan,Calayan West,306015,Dibay High School,Proper A,CAGAYAN,CALAYAN,2nd District,DIBAY,Public,DepED Managed,Mother school,Purely JHS,9,19,21,15,23,10,20,29,0,0,0,64,82,146
Region II,Cagayan,Calayan West,306427,Dilam High School,Dilam East,CAGAYAN,CALAYAN,2nd District,DILAM,Public,DepED Managed,Mother school,Purely JHS,15,22,13,14,18,18,18,17,0,0,0,64,71,135
Region II,Cagayan,Penablanca West,400381,San Jacinto Seminary,"Alimannao Hills, Peñablanca,Cagayan",CAGAYAN,PEÑABLANCA,3rd District,ALIMANAO,Private,Sectarian ,School with no Annexes,Purely JHS,7,8,6,3,0,0,0,0,0,0,0,24,0,24
