region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region I,Ilocos Sur,Bantay,600237,Ilocos Sur Community College,Zone V,ILOCOS SUR,BANTAY,1st District,BARANGAY 5 (POB.),SUCsLUCs,LUC,School with no Annexes,Purely SHS,5,5,34,30,0,0,0,0,0,0,20,21,0,0,0,0,2,7,30,23,0,0,0,0,0,0,37,15,0,0,0,0,0,128,101,229
Region I,Ilocos Sur,Cervantes-Quirino,600324,ISPSC Cervantes Campus,"Cervantes Campus, Cervantes, Ilocos Sur",ILOCOS SUR,CERVANTES,1st District,ROSARIO (POB.),SUCsLUCs,SUC Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,8,10,0,0,0,0,0,16,26,42
Region I,Ilocos Sur,Santiago,600325,ISPSC Santiago Campus,"Santiago Campus, Santiago, Ilocos Sur",ILOCOS SUR,SANTIAGO,1st District,POBLACION NORTE,SUCsLUCs,SUC Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,2,0,0,0,2,0,0,0,0,0,3,14,17
Region I,La Union,Aringay,340822,Aringay Senior High School,-,LA UNION,ARINGAY,2nd District,SANTA RITA EAST,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,22,0,0,0,0,0,65,56,121
Region I,La Union,Naguilian,340823,Naguilian Senior High School,"P. Florendo St. Ortiz, Naguilian, La Union",LA UNION,NAGUILIAN,2nd District,ORTIZ (POB.),Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,171,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,62,0,0,0,0,0,276,149,425
Region I,La Union,San Gabriel,340825,San Gabriel Senior High School,"Poblacion, San Gabriel, La Union",LA UNION,SAN GABRIEL,1st District,POBLACION,Public,DepED Managed,School with no Annexes,Purely SHS,5,20,52,32,0,0,12,24,0,0,0,0,0,0,0,0,3,9,31,37,0,0,34,14,0,0,0,0,0,0,0,0,0,137,136,273
Region I,La Union,San Juan,340824,San Juan Senior High School,"Ili Sur, San Juan, La Union",LA UNION,SAN JUAN,1st District,ILI SUR (POB.),Public,DepED Managed,School with no Annexes,Purely SHS,14,28,37,37,22,26,0,0,0,0,48,25,0,0,0,0,13,17,53,47,12,27,0,0,0,0,51,24,0,0,0,0,0,250,231,481
Region I,"Pangasinan I, Lingayen",Calasiao I,401732,AMA Computer College-Pangasinan Inc.,"Brgy. San Miguel, Mc Arthur Highway, Calasiao Junction, Calasiao Pangasinan",PANGASINAN,CALASIAO,3rd District,SAN MIGUEL,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,1,2,2,7,13,0,0,0,0,4,4,0,0,0,0,0,3,1,0,6,4,0,2,0,0,3,3,0,0,0,0,0,23,32,55
Region I,"Pangasinan I, Lingayen",Calasiao I,407618,Señor Tesoro College,"Diversion Road, San Miguel, Calasiao, Pangasinan",PANGASINAN,CALASIAO,3rd District,SAN MIGUEL,Private,Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,42,29,71
Region I,"Pangasinan I, Lingayen",Malasiqui I,409994,"MARIAN EDUCATIONAL CENTER OF MALASIQUI, INC.",31 BRGY. TAMBAC,PANGASINAN,MALASIQUI,3rd District,TAMBAC,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,6,0,0,1,2,0,0,27,1,0,0,0,0,0,3,2,11,0,0,4,2,0,0,25,0,0,0,0,0,0,59,25,84
