Region,Province,Municipality,District,Barangay
Region I,ILOCOS NORTE,BACARRA,Bacarra I,LIBTONG
Region I,ILOCOS NORTE,BACARRA,Bacarra I,SANTA RITA (POB.)
Region I,ILOCOS NORTE,BACARRA,Bacarra I,BUYON
Region I,ILOCOS NORTE,BACARRA,Bacarra I,GANAGAN
Region I,ILOCOS NORTE,BACARRA,Bacarra I,MACUPIT
Region I,ILOCOS NORTE,BACARRA,Bacarra I,NAMBARAN
Region I,ILOCOS NORTE,BACARRA,Bacarra I,PASIOCAN
Region I,ILOCOS NORTE,BACARRA,Bacarra I,PULANGI
Region I,ILOCOS NORTE,BACARRA,Bacarra I,SANGIL
Region I,ILOCOS NORTE,BACARRA,Bacarra I,SANTO CRISTO I (POB.)
Region I,ILOCOS NORTE,BACARRA,Bacarra I,TAMBIDAO
Region I,ILOCOS NORTE,BACARRA,Bacarra I,CADARATAN
Region I,ILOCOS NORTE,BACARRA,Bacarra I,CABUSLIGAN
Region I,ILOCOS NORTE,BACARRA,Bacarra II,CABUSLIGAN
Region I,ILOCOS NORTE,BACARRA,Bacarra II,CABARUAN
Region I,ILOCOS NORTE,BACARRA,Bacarra II,CABULALAAN
Region I,ILOCOS NORTE,BACARRA,Bacarra II,CADARATAN
Region I,ILOCOS NORTE,BACARRA,Bacarra II,CALIOET-LIBONG
Region I,ILOCOS NORTE,BACARRA,Bacarra II,CASILIAN
Region I,ILOCOS NORTE,BACARRA,Bacarra II,PANINAAN
Region I,ILOCOS NORTE,BACARRA,Bacarra II,DURIPES
Region I,ILOCOS NORTE,BACARRA,Bacarra II,PUNGTO
Region I,ILOCOS NORTE,BACARRA,Bacarra II,SAN AGUSTIN II (POB.)
Region I,ILOCOS NORTE,BADOC,Badoc,AR-ARUSIP
Region I,ILOCOS NORTE,BADOC,Badoc,LACUBEN
Region I,ILOCOS NORTE,BADOC,Badoc,GARRETA (POB.)
Region I,ILOCOS NORTE,BADOC,Badoc,CAMANGA
Region I,ILOCOS NORTE,BADOC,Badoc,GABUT NORTE
Region I,ILOCOS NORTE,BADOC,Badoc,LABUT
Region I,ILOCOS NORTE,BADOC,Badoc,NAPU
Region I,ILOCOS NORTE,BADOC,Badoc,MABUSAG NORTE
Region I,ILOCOS NORTE,BADOC,Badoc,MADUPAYAS
